Empresa,Unidad,Anio,Produccion
Andacollo,Miles TM,1964,0.0
Punta del Cobre,Miles TM,1964,0.0
Las Cenizas,Miles TM,1964,0.0
Chuquicamata,Miles TM,1965,252.7
Radomiro Tomic,Miles TM,1965,0.0
Ministro Hales,Miles TM,1965,0.0
Salvador,Miles TM,1965,74.1
Andina,Miles TM,1965,0.0
El Teniente,Miles TM,1965,152.4
Gaby,Miles TM,1965,0.0
Escondida,Miles TM,1965,0.0
Collahuasi,Miles TM,1965,0.0
Los Pelambres,Miles TM,1965,0.0
Anglo American Sur,Miles TM,1965,23.5
El Abra,Miles TM,1965,0.0
Candelaria,Miles TM,1965,0.0
Mantos Copper,Miles TM,1965,21.9
Zaldívar,Miles TM,1965,0.0
Cerro Colorado,Miles TM,1965,0.0
Centinela (Oxidos),Miles TM,1965,0.0
Quebrada Blanca,Miles TM,1965,0.0
Lomas Bayas,Miles TM,1965,0.0
Michilla,Miles TM,1965,0.0
Spence,Miles TM,1965,0.0
Centinela (Súlfuros),Miles TM,1965,0.0
Caserones,Miles TM,1965,0.0
Sierra Gorda,Miles TM,1965,0.0
Antucoya,Miles TM,1965,0.0
Andacollo,Miles TM,1965,0.0
Punta del Cobre,Miles TM,1965,0.0
Las Cenizas,Miles TM,1965,0.0
Chuquicamata,Miles TM,1966,303.5
Radomiro Tomic,Miles TM,1966,0.0
Ministro Hales,Miles TM,1966,0.0
Salvador,Miles TM,1966,76.8
Andina,Miles TM,1966,0.0
El Teniente,Miles TM,1966,144.6
Gaby,Miles TM,1966,0.0
Escondida,Miles TM,1966,0.0
Collahuasi,Miles TM,1966,0.0
Los Pelambres,Miles TM,1966,0.0
Anglo American Sur,Miles TM,1966,27.8
El Abra,Miles TM,1966,0.0
Candelaria,Miles TM,1966,0.0
Mantos Copper,Miles TM,1966,28.3
Zaldívar,Miles TM,1966,0.0
Cerro Colorado,Miles TM,1966,0.0
Centinela (Oxidos),Miles TM,1966,0.0
Quebrada Blanca,Miles TM,1966,0.0
Lomas Bayas,Miles TM,1966,0.0
Michilla,Miles TM,1966,0.0
Spence,Miles TM,1966,0.0
Centinela (Súlfuros),Miles TM,1966,0.0
Caserones,Miles TM,1966,0.0
Sierra Gorda,Miles TM,1966,0.0
Antucoya,Miles TM,1966,0.0
Andacollo,Miles TM,1966,0.0
Punta del Cobre,Miles TM,1966,0.0
Las Cenizas,Miles TM,1966,0.0
Chuquicamata,Miles TM,1967,276.9
Radomiro Tomic,Miles TM,1967,0.0
Ministro Hales,Miles TM,1967,0.0
Salvador,Miles TM,1967,78.0
Andina,Miles TM,1967,0.0
El Teniente,Miles TM,1967,181.5
Gaby,Miles TM,1967,0.0
Escondida,Miles TM,1967,0.0
Collahuasi,Miles TM,1967,0.0
Los Pelambres,Miles TM,1967,0.0
Anglo American Sur,Miles TM,1967,25.6
El Abra,Miles TM,1967,0.0
Candelaria,Miles TM,1967,0.0
Mantos Copper,Miles TM,1967,24.1
Zaldívar,Miles TM,1967,0.0
Cerro Colorado,Miles TM,1967,0.0
Centinela (Oxidos),Miles TM,1967,0.0
Quebrada Blanca,Miles TM,1967,0.0
Lomas Bayas,Miles TM,1967,0.0
Michilla,Miles TM,1967,0.0
Spence,Miles TM,1967,0.0
Centinela (Súlfuros),Miles TM,1967,0.0
Caserones,Miles TM,1967,0.0
Sierra Gorda,Miles TM,1967,0.0
Antucoya,Miles TM,1967,0.0
Andacollo,Miles TM,1967,0.0
Punta del Cobre,Miles TM,1967,0.0
Las Cenizas,Miles TM,1967,0.0
Chuquicamata,Miles TM,1968,279.2
Radomiro Tomic,Miles TM,1968,0.0
