Date,Ticker,Close
2013-01-01,AAL.L,1830.9364013671875
2013-02-01,AAL.L,1865.390869140625
2013-03-01,AAL.L,1642.164794921875
2013-04-01,AAL.L,1519.241455078125
2013-05-01,AAL.L,1481.867431640625
2013-06-01,AAL.L,1228.983642578125
2013-07-01,AAL.L,1366.8323974609375
2013-08-01,AAL.L,1435.2706298828125
2013-09-01,AAL.L,1473.8406982421875
2013-10-01,AAL.L,1441.8009033203125
2013-11-01,AAL.L,1309.7569580078125
2013-12-01,AAL.L,1281.6009521484375
2014-01-01,AAL.L,1394.226806640625
2014-02-01,AAL.L,1486.4630126953125
2014-03-01,AAL.L,1482.0936279296875
2014-04-01,AAL.L,1536.3636474609375
2014-05-01,AAL.L,1415.455078125
2014-06-01,AAL.L,1388.7486572265625
2014-07-01,AAL.L,1552.8731689453125
2014-08-01,AAL.L,1485.8634033203125
2014-09-01,AAL.L,1344.26806640625
2014-10-01,AAL.L,1278.7056884765625
2014-11-01,AAL.L,1283.562255859375
2014-12-01,AAL.L,1166.0360107421875
2015-01-01,AAL.L,1081.0478515625
2015-02-01,AAL.L,1175.2630615234375
2015-03-01,AAL.L,982.9473876953124
2015-04-01,AAL.L,1073.700927734375
2015-05-01,AAL.L,996.9385375976562
2015-06-01,AAL.L,892.483642578125
2015-07-01,AAL.L,788.2228393554688
2015-08-01,AAL.L,720.0112915039062
2015-09-01,AAL.L,535.4591064453125
2015-10-01,AAL.L,531.2796020507812
2015-11-01,AAL.L,397.1961669921875
2015-12-01,AAL.L,291.0567932128906
2016-01-01,AAL.L,269.6734313964844
2016-02-01,AAL.L,466.7892761230469
2016-03-01,AAL.L,536.6255493164062
2016-04-01,AAL.L,742.0029907226562
2016-05-01,AAL.L,583.2802124023438
2016-06-01,AAL.L,706.5261840820312
2016-07-01,AAL.L,807.2223510742188
2016-08-01,AAL.L,757.9434814453125
2016-09-01,AAL.L,940.4796752929688
2016-10-01,AAL.L,1099.300048828125
2016-11-01,AAL.L,1151.7861328125
2016-12-01,AAL.L,1127.4869384765625
2017-01-01,AAL.L,1319.937255859375
2017-02-01,AAL.L,1234.8897705078125
2017-03-01,AAL.L,1185.3194580078125
2017-04-01,AAL.L,1075.4864501953125
2017-05-01,AAL.L,1002.5885620117188
2017-06-01,AAL.L,995.2986450195312
2017-07-01,AAL.L,1217.394775390625
2017-08-01,AAL.L,1363.1898193359375
2017-09-01,AAL.L,1302.38427734375
2017-10-01,AAL.L,1380.65380859375
2017-11-01,AAL.L,1321.3438720703125
2017-12-01,AAL.L,1506.5655517578125
2018-01-01,AAL.L,1661.2569580078125
2018-02-01,AAL.L,1731.2618408203125
2018-03-01,AAL.L,1614.975830078125
2018-04-01,AAL.L,1662.45263671875
2018-05-01,AAL.L,1747.8411865234375
2018-06-01,AAL.L,1648.2532958984375
2018-07-01,AAL.L,1685.209716796875
2018-08-01,AAL.L,1499.260986328125
2018-09-01,AAL.L,1676.157958984375
2018-10-01,AAL.L,1629.6572265625
2018-11-01,AAL.L,1523.62060546875
2018-12-01,AAL.L,1700.2835693359375
2019-01-01,AAL.L,1889.982177734375
2019-02-01,AAL.L,1949.0318603515625
2019-03-01,AAL.L,1997.6727294921875
2019-04-01,AAL.L,1927.96533203125
2019-05-01,AAL.L,1843.894775390625
2019-06-01,AAL.L,2183.9697265625
2019-07-01,AAL.L,1984.011474609375
2019-08-01,AAL.L,1726.3524169921875
2019-09-01,AAL.L,1821.3468017578125
2019-10-01,AAL.L,1928.8055419921875
2019-11-01,AAL.L,1972.50927734375
2019-12-01,AAL.L,2115.105712890625
2020-01-01,AAL.L,1932.698974609375
2020-02-01,AAL.L,1744.062255859375
2020-03-01,AAL.L,1378.6639404296875
2020-04-01,AAL.L,1377.8917236328125
2020-05-01,AAL.L,1655.767822265625
2020-06-01,AAL.L,1820.1177978515625
2020-07-01,AAL.L,1820.89697265625
2020-08-01,AAL.L,1784.2877197265625
2020-09-01,AAL.L,1826.5855712890625
2020-10-01,AAL.L,1763.6800537109375
2020-11-01,AAL.L,2155.425048828125
2020-12-01,AAL.L,2360.888916015625
2021-01-01,AAL.L,2350.66455078125
2021-02-01,AAL.L,2699.759033203125
2021-03-01,AAL.L,2767.92236328125
2021-04-01,AAL.L,2990.07373046875
2021-05-01,AAL.L,3053.3818359375
2021-06-01,AAL.L,2810.66943359375
2021-07-01,AAL.L,3121.824462890625
2021-08-01,AAL.L,3002.939453125
2021-09-01,AAL.L,2567.72216796875
2021-10-01,AAL.L,2724.38037109375
2021-11-01,AAL.L,2714.10009765625
2021-12-01,AAL.L,2953.0029296875
2022-01-01,AAL.L,3160.57470703125
2022-02-01,AAL.L,3743.146728515625
2022-03-01,AAL.L,3889.524169921875
2022-04-01,AAL.L,3512.505126953125
2022-05-01,AAL.L,3807.336669921875
2022-06-01,AAL.L,2876.806640625
2022-07-01,AAL.L,2889.540283203125
2022-08-01,AAL.L,2725.962646484375
2022-09-01,AAL.L,2680.56494140625
2022-10-01,AAL.L,2556.115478515625
2022-11-01,AAL.L,3339.06982421875
2022-12-01,AAL.L,3171.50341796875
2023-01-01,AAL.L,3396.885009765625
2023-02-01,AAL.L,2826.572509765625
2023-03-01,AAL.L,2624.2197265625
2023-04-01,AAL.L,2396.540771484375
2023-05-01,AAL.L,2179.430908203125
2023-06-01,AAL.L,2188.742431640625
2023-07-01,AAL.L,2346.55126953125
2023-08-01,AAL.L,2058.868408203125
2023-09-01,AAL.L,2221.154296875
2023-10-01,AAL.L,2055.46240234375
2023-11-01,AAL.L,2100.0712890625
2023-12-01,AAL.L,1932.0269775390625
2024-01-01,AAL.L,1859.475341796875
2024-02-01,AAL.L,1667.7039794921875
2024-03-01,AAL.L,1913.5947265625
2024-04-01,AAL.L,2582.948974609375
2024-05-01,AAL.L,2464.784423828125
2024-06-01,AAL.L,2453.50732421875
2024-07-01,AAL.L,2304.453125
2024-08-01,AAL.L,2166.186279296875
2024-09-01,AAL.L,2382.323486328125
2024-10-01,AAL.L,2353.88037109375
2024-11-01,AAL.L,2472.06494140625
2024-12-01,AAL.L,2318.572265625
2025-01-01,AAL.L,2334.755126953125
2025-02-01,AAL.L,2291.1103515625
2025-03-01,AAL.L,2103.78076171875
2025-04-01,AAL.L,1990.1793212890625
2025-05-01,AAL.L,2162.81201171875
2025-06-01,AAL.L,2149.871337890625
2025-07-01,AAL.L,2147.87158203125
2025-08-01,AAL.L,2277.86376953125
2025-09-01,AAL.L,2784.900390625
2025-10-01,AAL.L,2874.897216796875
2025-11-01,AAL.L,2850.89794921875
2025-12-01,AAL.L,3084.8896484375
2013-01-01,ANTO.L,1137.0206298828125
2013-02-01,ANTO.L,1088.234375
2013-03-01,ANTO.L,979.7096557617188
