Model,Seg,WR%,Skill%,Hfoc%,H1m,H3m,H6m,H9m,H12m,H18m,H24m,H30m,H36m,H42m,H48m,H54m,H60m
"Ens. 50/50 (LGB+RF, SM)",SM,55.0,2.5,51.5,39.6,58.3,56.8,66.9,56.8,61.2,58.3,52.5,52.5,54.0,47.2,54.1,55.7
"Ens. 70/30 (LGB+RF, SM)",SM,54.7,2.7,53.2,43.2,55.4,54.0,64.0,58.3,58.3,58.3,52.5,52.5,54.0,48.8,52.3,59.8
"Ens. 30/70 (LGB+RF, SM)",SM,55.0,1.6,52.9,41.0,55.4,54.0,65.5,54.0,64.0,58.3,53.2,53.2,55.4,48.8,55.0,57.7
Ens. LC 50/50,LC,57.7,7.3,50.4,54.5,54.5,63.0,68.5,62.0,65.9,53.3,51.4,57.8,48.0,35.6,26.7,—
Ens. LC 70/30,LC,57.1,5.5,50.4,55.8,58.8,61.8,65.5,60.0,62.2,50.8,50.5,58.9,49.3,33.3,26.7,—
Ens. LC 30/70,LC,58.0,8.0,52.6,50.3,54.5,61.8,70.9,62.0,64.4,55.8,50.5,58.9,53.3,40.0,40.0,—
★ Ens. Segmentado (ALL),All,56.4,6.6,52.8,46.1,54.9,58.2,68.4,58.1,64.2,57.1,52.0,55.5,54.7,46.5,53.2,57.7
Ens. Adaptive (ALL),All,55.6,8.9,54.1,42.6,55.3,56.0,65.8,57.2,60.2,57.3,53.1,57.9,55.7,46.1,55.5,59.0
