Origin,Horizonte,Mine,Segment,Mine_Size,Actual,Naive,LGB,RF,XGB,ARIMA,SARIMAX,RollingMean,LGB_bc,RF_bc,XGB_bc,Best_Pred,H_norm,Stack_Pred
2018-01-01,6,andacollo,SM,1,5.4,8.4,6.84514667786969,6.316808670385056,6.379046683002908,6.12140128456064,6.473051154876203,6.166666666666667,6.84514667786969,6.316808670385056,6.379046683002908,6.332391069650949,0.1,3.575453532799131
2018-01-01,9,andacollo,SM,1,5.7,8.4,6.925701044622637,6.311490704485779,6.311643478127632,6.121401467111866,6.473051145521583,6.166666666666667,6.925701044622637,6.311490704485779,6.311643478127632,6.347438349821683,0.15,3.598214572063449
2018-01-01,12,andacollo,SM,1,4.2,8.4,6.906578922180429,6.31351891527314,6.311643478127632,6.121401467335858,6.570178662601123,6.166666666666667,6.906578922180429,6.31351891527314,6.311643478127632,6.344019567490714,0.2,3.6110527217036164
2018-01-01,18,andacollo,SM,1,5.4,8.4,6.859467692150289,6.3196156385070825,6.2991762750634095,6.121401467336133,6.455312952279734,6.166666666666667,6.859467692150289,6.3196156385070825,6.2991762750634095,6.3781041659976765,0.3,3.6639884910015077
2018-01-01,24,andacollo,SM,1,6.32,8.4,6.876151432132706,6.3196156385070825,6.275018092629899,6.121401467336133,6.4317285681141625,6.166666666666667,6.876151432132706,6.3196156385070825,6.275018092629899,6.425396787858603,0.4,3.7088448249456674
2018-01-01,30,andacollo,SM,1,3.028,8.4,7.1703552548422715,6.3196156385070825,6.459784817126056,6.121401467336133,6.459620121219214,6.166666666666667,7.1703552548422715,6.3196156385070825,6.459784817126056,6.513657934671473,0.5,3.742717200247775
2018-01-01,36,andacollo,SM,1,4.445,8.4,7.075870550296372,6.3196156385070825,6.507951876701631,6.121401467336133,6.465346852909321,6.166666666666667,7.075870550296372,6.3196156385070825,6.507951876701631,6.485312523307703,0.6,3.7824435840268626
2018-01-01,42,andacollo,SM,1,3.84,8.4,7.11376861270249,6.3196156385070825,6.7469285434237145,6.121401467336133,6.4585742596572935,6.166666666666667,7.11376861270249,6.3196156385070825,6.7469285434237145,6.4966819420295385,0.7,3.817065060099373
2018-01-01,48,andacollo,SM,1,3.061,8.4,7.11376861270249,6.3196156385070825,6.7469285434237145,6.121401467336133,6.457183701582076,6.166666666666667,7.11376861270249,6.3196156385070825,6.7469285434237145,6.4966819420295385,0.8,3.8591732749262246
2018-01-01,54,andacollo,SM,1,2.221,8.4,7.11376861270249,6.3196156385070825,6.7469285434237145,6.121401467336133,6.458828214499111,6.166666666666667,7.11376861270249,6.3196156385070825,6.7469285434237145,6.4966819420295385,0.9,3.9010201592483598
2018-01-01,60,andacollo,SM,1,3.161,8.4,7.11376861270249,6.3196156385070825,6.7469285434237145,6.121401467336133,6.459165868132141,6.166666666666667,7.11376861270249,6.3196156385070825,6.7469285434237145,6.4966819420295385,1.0,3.942979568844913
2018-07-01,6,andacollo,SM,1,4.2,6.4,5.571501029756701,5.488333173914995,5.581715443578769,6.0350469562658136,6.073573626714904,6.044444444444444,4.126354351887011,4.57152450352994,4.602668760575861,5.366242437750056,0.1,3.4401278330894067
2018-07-01,9,andacollo,SM,1,5.7,6.4,5.56228086579433,5.4947007398581915,5.518881830900076,6.035059408110514,5.87003735347414,6.044444444444444,4.336579821171693,4.883210035372413,4.907238352772445,5.4706246379754875,0.15,3.508090741420932
2018-07-01,12,andacollo,SM,1,5.4,6.4,5.6517483555897545,5.482052183661181,5.546031607015754,6.035059463370296,5.877855109804213,6.044444444444444,2.945169433409326,3.368533268388041,3.4343881288881226,4.8894072070261405,0.2,3.3742275996191005
2018-07-01,18,andacollo,SM,1,6.32,6.4,5.802213050426535,5.5075892390582455,5.705120781503443,6.035059463616622,6.02031618914331,6.044444444444444,4.342745358276247,4.587973600551163,4.805944506440034,5.254901961929074,0.3,3.5430981254615244
2018-07-01,24,andacollo,SM,1,3.028,6.4,5.976383019268146,5.505625110386107,5.955063164574848,6.035059463616627,5.9472974778883305,6.044444444444444,5.420231587135441,5.5060094718790245,6.00004507194495,5.695650095482117,0.4,3.6914997183207823
2018-07-01,30,andacollo,SM,1,4.445,6.4,6.48682630352081,5.516676762699759,6.4247140066023585,6.035059463616627,6.00043890314821,6.044444444444444,2.344471048678538,2.2250611241926763,2.992929189476303,3.7886374296391425,0.5,3.3881093869571983
2018-07-01,36,andacollo,SM,1,3.84,6.4,6.366161511876239,5.516676762699759,6.3330460759200555,6.035059463616627,5.973201158737175,6.044444444444444,3.7352909615798673,3.6420611241926766,4.270094199218425,4.630983403509541,0.6,3.5904523691548444
2018-07-01,42,andacollo,SM,1,3.061,6.4,6.389206183468509,5.516676762699759,6.316829615906383,6.035059463616627,5.993024194969715,6.044444444444444,3.1154375707660193,3.037061124192676,3.4099010724826684,4.263527386265387,0.7,3.5788065849016197
2018-07-01,48,andacollo,SM,1,2.221,6.4,6.368867596597934,5.516676762699759,6.073956858009745,6.035059463616627,5.982863857874649,6.044444444444444,2.3160989838954444,2.2580611241926762,2.3880283145860304,3.790025810204214,0.8,3.5503617192185097
2018-07-01,54,andacollo,SM,1,3.161,6.4,6.368867596597934,5.516676762699759,6.073956858009745,6.035059463616627,5.990258329580196,6.044444444444444,1.4760989838954446,1.4180611241926764,1.5480283145860305,3.286025810204214,0.9,3.508610789037487
2018-07-01,60,andacollo,SM,1,3.937,6.4,6.368867596597934,5.516676762699759,6.073956858009745,6.035059463616627,5.986468278233522,6.044444444444444,2.4160989838954445,2.3580611241926763,2.4880283145860305,3.850025810204214,1.0,3.656072075077054
2019-01-01,6,andacollo,SM,1,5.4,6.0,5.252391330975946,5.383345986843368,5.2824067629579075,5.978620919391847,5.381285442776166,5.955555555555556,3.8440674771627505,4.2807750646933425,4.1020256996670685,5.198301841704552,0.1,3.613729442103803
