ML,Stat,α_sm_s,α_sm_l,α_sm_mid,α_lc,MAPE,Skill,WR,WR_Focus,M50,Label
RF,ARIMA,0.4,1.0,0.7,0.3,20.42,21.76,62.8,62.8,24,RF+ARIMA SM=0.4/1.0 LC=0.3
RF,ARIMA,0.4,1.0,0.7,0.4,20.34,22.24,62.7,62.1,24,RF+ARIMA SM=0.4/1.0 LC=0.4
RF,ARIMA,0.4,1.0,0.7,0.5,20.32,22.26,62.3,62.3,24,RF+ARIMA SM=0.4/1.0 LC=0.5
RF,ARIMA,0.4,1.0,0.7,0.6,20.35,21.9,61.9,61.9,23,RF+ARIMA SM=0.4/1.0 LC=0.6
RF,ARIMA,0.4,1.0,0.7,0.7,20.43,21.17,61.4,62.3,23,RF+ARIMA SM=0.4/1.0 LC=0.7
RF,ARIMA,0.5,0.5,0.5,0.2,21.09,21.15,62.7,64.0,24,RF+ARIMA SM=0.5/0.5 LC=0.2
RF,ARIMA,0.5,0.5,0.5,0.3,20.94,22.04,62.7,63.8,24,RF+ARIMA SM=0.5/0.5 LC=0.3
RF,ARIMA,0.5,0.5,0.5,0.4,20.86,22.53,62.6,63.2,24,RF+ARIMA SM=0.5/0.5 LC=0.4
RF,ARIMA,0.5,0.5,0.5,0.5,20.84,22.55,62.3,63.4,24,RF+ARIMA SM=0.5/0.5 LC=0.5
RF,ARIMA,0.5,0.5,0.5,0.6,20.87,22.19,61.8,63.0,23,RF+ARIMA SM=0.5/0.5 LC=0.6
RF,ARIMA,0.5,0.5,0.5,0.7,20.94,21.46,61.3,63.4,23,RF+ARIMA SM=0.5/0.5 LC=0.7
RF,ARIMA,0.5,0.6,0.55,0.2,20.89,21.25,62.7,64.4,24,RF+ARIMA SM=0.5/0.6 LC=0.2
RF,ARIMA,0.5,0.6,0.55,0.3,20.75,22.14,62.7,64.2,24,RF+ARIMA SM=0.5/0.6 LC=0.3
RF,ARIMA,0.5,0.6,0.55,0.4,20.66,22.63,62.6,63.6,24,RF+ARIMA SM=0.5/0.6 LC=0.4
RF,ARIMA,0.5,0.6,0.55,0.5,20.64,22.65,62.3,63.8,24,RF+ARIMA SM=0.5/0.6 LC=0.5
RF,ARIMA,0.5,0.6,0.55,0.6,20.67,22.29,61.8,63.4,23,RF+ARIMA SM=0.5/0.6 LC=0.6
RF,ARIMA,0.5,0.6,0.55,0.7,20.75,21.55,61.3,63.8,23,RF+ARIMA SM=0.5/0.6 LC=0.7
RF,ARIMA,0.5,0.7,0.6,0.2,20.74,21.28,62.9,64.8,24,RF+ARIMA SM=0.5/0.7 LC=0.2
RF,ARIMA,0.5,0.7,0.6,0.3,20.6,22.17,63.0,64.6,24,RF+ARIMA SM=0.5/0.7 LC=0.3
RF,ARIMA,0.5,0.7,0.6,0.4,20.52,22.66,62.9,64.0,24,RF+ARIMA SM=0.5/0.7 LC=0.4
RF,ARIMA,0.5,0.7,0.6,0.5,20.5,22.68,62.5,64.2,24,RF+ARIMA SM=0.5/0.7 LC=0.5
RF,ARIMA,0.5,0.7,0.6,0.6,20.52,22.32,62.1,63.8,23,RF+ARIMA SM=0.5/0.7 LC=0.6
RF,ARIMA,0.5,0.7,0.6,0.7,20.6,21.59,61.6,64.2,23,RF+ARIMA SM=0.5/0.7 LC=0.7
RF,ARIMA,0.5,0.8,0.65,0.2,20.66,21.2,62.9,64.4,24,RF+ARIMA SM=0.5/0.8 LC=0.2
RF,ARIMA,0.5,0.8,0.65,0.3,20.51,22.09,62.9,64.2,24,RF+ARIMA SM=0.5/0.8 LC=0.3
RF,ARIMA,0.5,0.8,0.65,0.4,20.43,22.58,62.8,63.6,24,RF+ARIMA SM=0.5/0.8 LC=0.4
RF,ARIMA,0.5,0.8,0.65,0.5,20.41,22.6,62.5,63.8,24,RF+ARIMA SM=0.5/0.8 LC=0.5
RF,ARIMA,0.5,0.8,0.65,0.6,20.44,22.24,62.0,63.4,23,RF+ARIMA SM=0.5/0.8 LC=0.6
RF,ARIMA,0.5,0.8,0.65,0.7,20.52,21.51,61.5,63.8,23,RF+ARIMA SM=0.5/0.8 LC=0.7
RF,ARIMA,0.5,0.9,0.7,0.2,20.6,21.04,62.8,63.6,23,RF+ARIMA SM=0.5/0.9 LC=0.2
RF,ARIMA,0.5,0.9,0.7,0.3,20.46,21.94,62.9,63.4,23,RF+ARIMA SM=0.5/0.9 LC=0.3
RF,ARIMA,0.5,0.9,0.7,0.4,20.38,22.42,62.7,62.8,23,RF+ARIMA SM=0.5/0.9 LC=0.4
RF,ARIMA,0.5,0.9,0.7,0.5,20.36,22.44,62.4,63.0,23,RF+ARIMA SM=0.5/0.9 LC=0.5
RF,ARIMA,0.5,0.9,0.7,0.6,20.39,22.08,62.0,62.6,22,RF+ARIMA SM=0.5/0.9 LC=0.6
RF,ARIMA,0.5,0.9,0.7,0.7,20.46,21.35,61.4,63.0,22,RF+ARIMA SM=0.5/0.9 LC=0.7
RF,ARIMA,0.5,1.0,0.75,0.2,20.61,20.82,62.6,63.0,23,RF+ARIMA SM=0.5/1.0 LC=0.2
RF,ARIMA,0.5,1.0,0.75,0.3,20.47,21.72,62.6,62.8,23,RF+ARIMA SM=0.5/1.0 LC=0.3
RF,ARIMA,0.5,1.0,0.75,0.4,20.38,22.2,62.5,62.1,23,RF+ARIMA SM=0.5/1.0 LC=0.4
RF,ARIMA,0.5,1.0,0.75,0.5,20.37,22.22,62.2,62.3,23,RF+ARIMA SM=0.5/1.0 LC=0.5
RF,ARIMA,0.5,1.0,0.75,0.6,20.39,21.86,61.7,61.9,22,RF+ARIMA SM=0.5/1.0 LC=0.6
RF,ARIMA,0.5,1.0,0.75,0.7,20.47,21.13,61.2,62.3,22,RF+ARIMA SM=0.5/1.0 LC=0.7
RF,ARIMA,0.6,0.5,0.55,0.2,21.13,21.1,62.4,64.0,24,RF+ARIMA SM=0.6/0.5 LC=0.2
RF,ARIMA,0.6,0.5,0.55,0.3,20.99,21.99,62.5,63.8,24,RF+ARIMA SM=0.6/0.5 LC=0.3
RF,ARIMA,0.6,0.5,0.55,0.4,20.91,22.48,62.3,63.2,24,RF+ARIMA SM=0.6/0.5 LC=0.4
RF,ARIMA,0.6,0.5,0.55,0.5,20.89,22.5,62.0,63.4,24,RF+ARIMA SM=0.6/0.5 LC=0.5
RF,ARIMA,0.6,0.5,0.55,0.6,20.91,22.14,61.6,63.0,23,RF+ARIMA SM=0.6/0.5 LC=0.6
RF,ARIMA,0.6,0.5,0.55,0.7,20.99,21.41,61.1,63.4,23,RF+ARIMA SM=0.6/0.5 LC=0.7
RF,ARIMA,0.6,0.6,0.6,0.2,20.94,21.2,62.4,64.4,24,RF+ARIMA SM=0.6/0.6 LC=0.2
RF,ARIMA,0.6,0.6,0.6,0.3,20.79,22.09,62.5,64.2,24,RF+ARIMA SM=0.6/0.6 LC=0.3
RF,ARIMA,0.6,0.6,0.6,0.4,20.71,22.57,62.3,63.6,24,RF+ARIMA SM=0.6/0.6 LC=0.4
RF,ARIMA,0.6,0.6,0.6,0.5,20.69,22.59,62.0,63.8,24,RF+ARIMA SM=0.6/0.6 LC=0.5
RF,ARIMA,0.6,0.6,0.6,0.6,20.72,22.23,61.6,63.4,23,RF+ARIMA SM=0.6/0.6 LC=0.6
RF,ARIMA,0.6,0.6,0.6,0.7,20.79,21.5,61.1,63.8,23,RF+ARIMA SM=0.6/0.6 LC=0.7
RF,ARIMA,0.6,0.7,0.65,0.2,20.79,21.23,62.6,64.8,24,RF+ARIMA SM=0.6/0.7 LC=0.2
RF,ARIMA,0.6,0.7,0.65,0.3,20.64,22.12,62.7,64.6,24,RF+ARIMA SM=0.6/0.7 LC=0.3
RF,ARIMA,0.6,0.7,0.65,0.4,20.56,22.6,62.6,64.0,24,RF+ARIMA SM=0.6/0.7 LC=0.4
RF,ARIMA,0.6,0.7,0.65,0.5,20.54,22.63,62.2,64.2,24,RF+ARIMA SM=0.6/0.7 LC=0.5
RF,ARIMA,0.6,0.7,0.65,0.6,20.57,22.26,61.8,63.8,23,RF+ARIMA SM=0.6/0.7 LC=0.6
RF,ARIMA,0.6,0.7,0.65,0.7,20.65,21.53,61.3,64.2,23,RF+ARIMA SM=0.6/0.7 LC=0.7
RF,ARIMA,0.6,0.8,0.7,0.2,20.71,21.14,62.6,64.4,23,RF+ARIMA SM=0.6/0.8 LC=0.2
RF,ARIMA,0.6,0.8,0.7,0.3,20.56,22.04,62.6,64.2,23,RF+ARIMA SM=0.6/0.8 LC=0.3
RF,ARIMA,0.6,0.8,0.7,0.4,20.48,22.52,62.5,63.6,23,RF+ARIMA SM=0.6/0.8 LC=0.4
RF,ARIMA,0.6,0.8,0.7,0.5,20.46,22.54,62.2,63.8,23,RF+ARIMA SM=0.6/0.8 LC=0.5
RF,ARIMA,0.6,0.8,0.7,0.6,20.49,22.18,61.7,63.4,22,RF+ARIMA SM=0.6/0.8 LC=0.6
RF,ARIMA,0.6,0.8,0.7,0.7,20.56,21.45,61.2,63.8,22,RF+ARIMA SM=0.6/0.8 LC=0.7
RF,ARIMA,0.6,0.9,0.75,0.2,20.65,20.99,62.5,63.6,23,RF+ARIMA SM=0.6/0.9 LC=0.2
RF,ARIMA,0.6,0.9,0.75,0.3,20.51,21.88,62.6,63.4,23,RF+ARIMA SM=0.6/0.9 LC=0.3
RF,ARIMA,0.6,0.9,0.75,0.4,20.43,22.37,62.5,62.8,23,RF+ARIMA SM=0.6/0.9 LC=0.4
RF,ARIMA,0.6,0.9,0.75,0.5,20.41,22.39,62.1,63.0,23,RF+ARIMA SM=0.6/0.9 LC=0.5
RF,ARIMA,0.6,0.9,0.75,0.6,20.43,22.03,61.7,62.6,22,RF+ARIMA SM=0.6/0.9 LC=0.6
RF,ARIMA,0.6,0.9,0.75,0.7,20.51,21.3,61.2,63.0,22,RF+ARIMA SM=0.6/0.9 LC=0.7
RF,ARIMA,0.6,1.0,0.8,0.2,20.66,20.77,62.3,63.0,23,RF+ARIMA SM=0.6/1.0 LC=0.2
RF,ARIMA,0.6,1.0,0.8,0.3,20.52,21.66,62.3,62.8,23,RF+ARIMA SM=0.6/1.0 LC=0.3
RF,ARIMA,0.6,1.0,0.8,0.4,20.43,22.15,62.2,62.1,23,RF+ARIMA SM=0.6/1.0 LC=0.4
RF,ARIMA,0.6,1.0,0.8,0.5,20.41,22.17,61.9,62.3,23,RF+ARIMA SM=0.6/1.0 LC=0.5
RF,ARIMA,0.6,1.0,0.8,0.6,20.44,21.81,61.4,61.9,22,RF+ARIMA SM=0.6/1.0 LC=0.6
RF,ARIMA,0.6,1.0,0.8,0.7,20.52,21.07,60.9,62.3,22,RF+ARIMA SM=0.6/1.0 LC=0.7
RF,ARIMA,0.7,0.5,0.6,0.2,21.19,21.03,62.0,64.0,23,RF+ARIMA SM=0.7/0.5 LC=0.2
RF,ARIMA,0.7,0.5,0.6,0.3,21.04,21.92,62.0,63.8,23,RF+ARIMA SM=0.7/0.5 LC=0.3
RF,ARIMA,0.7,0.5,0.6,0.4,20.96,22.41,61.9,63.2,23,RF+ARIMA SM=0.7/0.5 LC=0.4
RF,ARIMA,0.7,0.5,0.6,0.5,20.94,22.43,61.6,63.4,23,RF+ARIMA SM=0.7/0.5 LC=0.5
RF,ARIMA,0.7,0.5,0.6,0.6,20.97,22.07,61.1,63.0,22,RF+ARIMA SM=0.7/0.5 LC=0.6
RF,ARIMA,0.7,0.5,0.6,0.7,21.04,21.34,60.6,63.4,22,RF+ARIMA SM=0.7/0.5 LC=0.7
RF,ARIMA,0.7,0.6,0.65,0.2,20.99,21.13,62.0,64.4,23,RF+ARIMA SM=0.7/0.6 LC=0.2
RF,ARIMA,0.7,0.6,0.65,0.3,20.85,22.02,62.0,64.2,23,RF+ARIMA SM=0.7/0.6 LC=0.3
RF,ARIMA,0.7,0.6,0.65,0.4,20.76,22.5,61.9,63.6,23,RF+ARIMA SM=0.7/0.6 LC=0.4
RF,ARIMA,0.7,0.6,0.65,0.5,20.75,22.53,61.6,63.8,23,RF+ARIMA SM=0.7/0.6 LC=0.5
RF,ARIMA,0.7,0.6,0.65,0.6,20.77,22.16,61.1,63.4,22,RF+ARIMA SM=0.7/0.6 LC=0.6
RF,ARIMA,0.7,0.6,0.65,0.7,20.85,21.43,60.6,63.8,22,RF+ARIMA SM=0.7/0.6 LC=0.7
RF,ARIMA,0.7,0.7,0.7,0.2,20.84,21.16,62.2,64.8,23,RF+ARIMA SM=0.7/0.7 LC=0.2
RF,ARIMA,0.7,0.7,0.7,0.3,20.7,22.05,62.2,64.6,23,RF+ARIMA SM=0.7/0.7 LC=0.3
RF,ARIMA,0.7,0.7,0.7,0.4,20.62,22.54,62.1,64.0,23,RF+ARIMA SM=0.7/0.7 LC=0.4
RF,ARIMA,0.7,0.7,0.7,0.5,20.6,22.56,61.8,64.2,23,RF+ARIMA SM=0.7/0.7 LC=0.5
RF,ARIMA,0.7,0.7,0.7,0.6,20.63,22.2,61.3,63.8,22,RF+ARIMA SM=0.7/0.7 LC=0.6
RF,ARIMA,0.7,0.7,0.7,0.7,20.7,21.46,60.8,64.2,22,RF+ARIMA SM=0.7/0.7 LC=0.7
RF,ARIMA,0.7,0.8,0.75,0.2,20.76,21.08,62.1,64.4,23,RF+ARIMA SM=0.7/0.8 LC=0.2
RF,ARIMA,0.7,0.8,0.75,0.3,20.62,21.97,62.2,64.2,23,RF+ARIMA SM=0.7/0.8 LC=0.3
RF,ARIMA,0.7,0.8,0.75,0.4,20.54,22.45,62.1,63.6,23,RF+ARIMA SM=0.7/0.8 LC=0.4
RF,ARIMA,0.7,0.8,0.75,0.5,20.52,22.47,61.7,63.8,23,RF+ARIMA SM=0.7/0.8 LC=0.5
RF,ARIMA,0.7,0.8,0.75,0.6,20.54,22.11,61.3,63.4,22,RF+ARIMA SM=0.7/0.8 LC=0.6
RF,ARIMA,0.7,0.8,0.75,0.7,20.62,21.38,60.8,63.8,22,RF+ARIMA SM=0.7/0.8 LC=0.7
RF,ARIMA,0.7,0.9,0.8,0.2,20.71,20.92,62.1,63.6,23,RF+ARIMA SM=0.7/0.9 LC=0.2
RF,ARIMA,0.7,0.9,0.8,0.3,20.56,21.81,62.1,63.4,23,RF+ARIMA SM=0.7/0.9 LC=0.3
RF,ARIMA,0.7,0.9,0.8,0.4,20.48,22.3,62.0,62.8,23,RF+ARIMA SM=0.7/0.9 LC=0.4
RF,ARIMA,0.7,0.9,0.8,0.5,20.46,22.32,61.7,63.0,23,RF+ARIMA SM=0.7/0.9 LC=0.5
RF,ARIMA,0.7,0.9,0.8,0.6,20.49,21.96,61.2,62.6,22,RF+ARIMA SM=0.7/0.9 LC=0.6
RF,ARIMA,0.7,0.9,0.8,0.7,20.57,21.23,60.7,63.0,22,RF+ARIMA SM=0.7/0.9 LC=0.7
RF,ARIMA,0.7,1.0,0.85,0.2,20.72,20.7,61.8,63.0,23,RF+ARIMA SM=0.7/1.0 LC=0.2
RF,ARIMA,0.7,1.0,0.85,0.3,20.57,21.59,61.9,62.8,23,RF+ARIMA SM=0.7/1.0 LC=0.3
RF,ARIMA,0.7,1.0,0.85,0.4,20.49,22.07,61.8,62.1,23,RF+ARIMA SM=0.7/1.0 LC=0.4
RF,ARIMA,0.7,1.0,0.85,0.5,20.47,22.1,61.4,62.3,23,RF+ARIMA SM=0.7/1.0 LC=0.5
RF,ARIMA,0.7,1.0,0.85,0.6,20.5,21.73,61.0,61.9,22,RF+ARIMA SM=0.7/1.0 LC=0.6
RF,ARIMA,0.7,1.0,0.85,0.7,20.57,21.0,60.5,62.3,22,RF+ARIMA SM=0.7/1.0 LC=0.7
RF,SARIMAX,0.3,0.5,0.4,0.2,23.26,4.46,59.9,59.9,20,RF+SARIMAX SM=0.3/0.5 LC=0.2
RF,SARIMAX,0.3,0.5,0.4,0.3,22.79,8.03,60.1,60.1,20,RF+SARIMAX SM=0.3/0.5 LC=0.3
RF,SARIMAX,0.3,0.5,0.4,0.4,22.38,11.3,60.0,60.7,20,RF+SARIMAX SM=0.3/0.5 LC=0.4
RF,SARIMAX,0.3,0.5,0.4,0.5,22.04,13.98,60.3,61.5,22,RF+SARIMAX SM=0.3/0.5 LC=0.5
RF,SARIMAX,0.3,0.5,0.4,0.6,21.76,16.12,60.1,61.1,22,RF+SARIMAX SM=0.3/0.5 LC=0.6
RF,SARIMAX,0.3,0.5,0.4,0.7,21.56,17.56,60.3,60.5,22,RF+SARIMAX SM=0.3/0.5 LC=0.7
RF,SARIMAX,0.3,0.6,0.45,0.2,23.02,4.71,60.2,60.3,20,RF+SARIMAX SM=0.3/0.6 LC=0.2
RF,SARIMAX,0.3,0.6,0.45,0.3,22.55,8.29,60.4,60.5,20,RF+SARIMAX SM=0.3/0.6 LC=0.3
RF,SARIMAX,0.3,0.6,0.45,0.4,22.13,11.56,60.3,61.1,20,RF+SARIMAX SM=0.3/0.6 LC=0.4
RF,SARIMAX,0.3,0.6,0.45,0.5,21.8,14.23,60.6,61.9,22,RF+SARIMAX SM=0.3/0.6 LC=0.5
RF,SARIMAX,0.3,0.6,0.45,0.6,21.52,16.38,60.4,61.5,22,RF+SARIMAX SM=0.3/0.6 LC=0.6
RF,SARIMAX,0.3,0.6,0.45,0.7,21.32,17.81,60.5,60.9,22,RF+SARIMAX SM=0.3/0.6 LC=0.7
RF,SARIMAX,0.3,0.7,0.5,0.2,22.83,4.89,60.0,60.1,20,RF+SARIMAX SM=0.3/0.7 LC=0.2
RF,SARIMAX,0.3,0.7,0.5,0.3,22.36,8.47,60.2,60.3,20,RF+SARIMAX SM=0.3/0.7 LC=0.3
RF,SARIMAX,0.3,0.7,0.5,0.4,21.94,11.74,60.1,60.9,20,RF+SARIMAX SM=0.3/0.7 LC=0.4
RF,SARIMAX,0.3,0.7,0.5,0.5,21.61,14.41,60.4,61.7,22,RF+SARIMAX SM=0.3/0.7 LC=0.5
RF,SARIMAX,0.3,0.7,0.5,0.6,21.33,16.56,60.2,61.3,22,RF+SARIMAX SM=0.3/0.7 LC=0.6
RF,SARIMAX,0.3,0.7,0.5,0.7,21.13,17.99,60.4,60.7,22,RF+SARIMAX SM=0.3/0.7 LC=0.7
RF,SARIMAX,0.3,0.8,0.55,0.2,22.69,4.98,60.0,60.3,19,RF+SARIMAX SM=0.3/0.8 LC=0.2
RF,SARIMAX,0.3,0.8,0.55,0.3,22.22,8.56,60.2,60.5,19,RF+SARIMAX SM=0.3/0.8 LC=0.3
RF,SARIMAX,0.3,0.8,0.55,0.4,21.8,11.83,60.1,61.1,19,RF+SARIMAX SM=0.3/0.8 LC=0.4
RF,SARIMAX,0.3,0.8,0.55,0.5,21.47,14.5,60.4,61.9,21,RF+SARIMAX SM=0.3/0.8 LC=0.5
RF,SARIMAX,0.3,0.8,0.55,0.6,21.19,16.65,60.2,61.5,21,RF+SARIMAX SM=0.3/0.8 LC=0.6
RF,SARIMAX,0.3,0.8,0.55,0.7,20.99,18.08,60.4,60.9,21,RF+SARIMAX SM=0.3/0.8 LC=0.7
RF,SARIMAX,0.3,0.9,0.6,0.2,22.6,4.95,60.2,60.1,19,RF+SARIMAX SM=0.3/0.9 LC=0.2
RF,SARIMAX,0.3,0.9,0.6,0.3,22.13,8.53,60.4,60.3,19,RF+SARIMAX SM=0.3/0.9 LC=0.3
RF,SARIMAX,0.3,0.9,0.6,0.4,21.72,11.8,60.3,60.9,19,RF+SARIMAX SM=0.3/0.9 LC=0.4
RF,SARIMAX,0.3,0.9,0.6,0.5,21.38,14.47,60.6,61.7,21,RF+SARIMAX SM=0.3/0.9 LC=0.5
RF,SARIMAX,0.3,0.9,0.6,0.6,21.1,16.62,60.4,61.3,21,RF+SARIMAX SM=0.3/0.9 LC=0.6
RF,SARIMAX,0.3,0.9,0.6,0.7,20.9,18.05,60.5,60.7,21,RF+SARIMAX SM=0.3/0.9 LC=0.7
RF,SARIMAX,0.3,1.0,0.65,0.2,22.63,4.74,60.2,59.7,20,RF+SARIMAX SM=0.3/1.0 LC=0.2
RF,SARIMAX,0.3,1.0,0.65,0.3,22.16,8.31,60.4,59.9,20,RF+SARIMAX SM=0.3/1.0 LC=0.3
RF,SARIMAX,0.3,1.0,0.65,0.4,21.74,11.58,60.3,60.5,20,RF+SARIMAX SM=0.3/1.0 LC=0.4
RF,SARIMAX,0.3,1.0,0.65,0.5,21.4,14.26,60.6,61.3,22,RF+SARIMAX SM=0.3/1.0 LC=0.5
RF,SARIMAX,0.3,1.0,0.65,0.6,21.13,16.4,60.4,60.9,22,RF+SARIMAX SM=0.3/1.0 LC=0.6
RF,SARIMAX,0.3,1.0,0.65,0.7,20.93,17.84,60.5,60.3,22,RF+SARIMAX SM=0.3/1.0 LC=0.7
RF,SARIMAX,0.4,0.5,0.45,0.2,23.25,4.51,59.9,59.9,20,RF+SARIMAX SM=0.4/0.5 LC=0.2
RF,SARIMAX,0.4,0.5,0.45,0.3,22.79,8.09,60.1,60.1,20,RF+SARIMAX SM=0.4/0.5 LC=0.3
RF,SARIMAX,0.4,0.5,0.45,0.4,22.37,11.36,60.0,60.7,20,RF+SARIMAX SM=0.4/0.5 LC=0.4
RF,SARIMAX,0.4,0.5,0.45,0.5,22.03,14.03,60.3,61.5,22,RF+SARIMAX SM=0.4/0.5 LC=0.5
RF,SARIMAX,0.4,0.5,0.45,0.6,21.75,16.18,60.1,61.1,22,RF+SARIMAX SM=0.4/0.5 LC=0.6
RF,SARIMAX,0.4,0.5,0.45,0.7,21.56,17.61,60.3,60.5,22,RF+SARIMAX SM=0.4/0.5 LC=0.7
RF,SARIMAX,0.4,0.6,0.5,0.2,23.01,4.77,60.2,60.3,20,RF+SARIMAX SM=0.4/0.6 LC=0.2
RF,SARIMAX,0.4,0.6,0.5,0.3,22.55,8.34,60.4,60.5,20,RF+SARIMAX SM=0.4/0.6 LC=0.3
RF,SARIMAX,0.4,0.6,0.5,0.4,22.13,11.62,60.3,61.1,20,RF+SARIMAX SM=0.4/0.6 LC=0.4
RF,SARIMAX,0.4,0.6,0.5,0.5,21.79,14.29,60.6,61.9,22,RF+SARIMAX SM=0.4/0.6 LC=0.5
RF,SARIMAX,0.4,0.6,0.5,0.6,21.51,16.44,60.4,61.5,22,RF+SARIMAX SM=0.4/0.6 LC=0.6
RF,SARIMAX,0.4,0.6,0.5,0.7,21.32,17.87,60.5,60.9,22,RF+SARIMAX SM=0.4/0.6 LC=0.7
RF,SARIMAX,0.4,0.7,0.55,0.2,22.82,4.95,60.0,60.1,20,RF+SARIMAX SM=0.4/0.7 LC=0.2
RF,SARIMAX,0.4,0.7,0.55,0.3,22.36,8.53,60.2,60.3,20,RF+SARIMAX SM=0.4/0.7 LC=0.3
RF,SARIMAX,0.4,0.7,0.55,0.4,21.94,11.8,60.1,60.9,20,RF+SARIMAX SM=0.4/0.7 LC=0.4
RF,SARIMAX,0.4,0.7,0.55,0.5,21.6,14.47,60.4,61.7,22,RF+SARIMAX SM=0.4/0.7 LC=0.5
RF,SARIMAX,0.4,0.7,0.55,0.6,21.32,16.62,60.2,61.3,22,RF+SARIMAX SM=0.4/0.7 LC=0.6
RF,SARIMAX,0.4,0.7,0.55,0.7,21.13,18.05,60.4,60.7,22,RF+SARIMAX SM=0.4/0.7 LC=0.7
RF,SARIMAX,0.4,0.8,0.6,0.2,22.69,5.04,60.0,60.3,19,RF+SARIMAX SM=0.4/0.8 LC=0.2
RF,SARIMAX,0.4,0.8,0.6,0.3,22.22,8.62,60.2,60.5,19,RF+SARIMAX SM=0.4/0.8 LC=0.3
RF,SARIMAX,0.4,0.8,0.6,0.4,21.8,11.89,60.1,61.1,19,RF+SARIMAX SM=0.4/0.8 LC=0.4
RF,SARIMAX,0.4,0.8,0.6,0.5,21.46,14.56,60.4,61.9,21,RF+SARIMAX SM=0.4/0.8 LC=0.5
RF,SARIMAX,0.4,0.8,0.6,0.6,21.19,16.71,60.2,61.5,21,RF+SARIMAX SM=0.4/0.8 LC=0.6
RF,SARIMAX,0.4,0.8,0.6,0.7,20.99,18.14,60.4,60.9,21,RF+SARIMAX SM=0.4/0.8 LC=0.7
RF,SARIMAX,0.4,0.9,0.65,0.2,22.6,5.01,60.2,60.1,19,RF+SARIMAX SM=0.4/0.9 LC=0.2
RF,SARIMAX,0.4,0.9,0.65,0.3,22.13,8.58,60.3,60.3,19,RF+SARIMAX SM=0.4/0.9 LC=0.3
RF,SARIMAX,0.4,0.9,0.65,0.4,21.71,11.86,60.2,60.9,19,RF+SARIMAX SM=0.4/0.9 LC=0.4
RF,SARIMAX,0.4,0.9,0.65,0.5,21.37,14.53,60.5,61.7,21,RF+SARIMAX SM=0.4/0.9 LC=0.5
RF,SARIMAX,0.4,0.9,0.65,0.6,21.1,16.67,60.3,61.3,21,RF+SARIMAX SM=0.4/0.9 LC=0.6
RF,SARIMAX,0.4,0.9,0.65,0.7,20.9,18.11,60.5,60.7,21,RF+SARIMAX SM=0.4/0.9 LC=0.7
RF,SARIMAX,0.4,1.0,0.7,0.2,22.62,4.79,60.2,59.7,20,RF+SARIMAX SM=0.4/1.0 LC=0.2
RF,SARIMAX,0.4,1.0,0.7,0.3,22.16,8.37,60.4,59.9,20,RF+SARIMAX SM=0.4/1.0 LC=0.3
RF,SARIMAX,0.4,1.0,0.7,0.4,21.74,11.64,60.3,60.5,20,RF+SARIMAX SM=0.4/1.0 LC=0.4
RF,SARIMAX,0.4,1.0,0.7,0.5,21.4,14.31,60.6,61.3,22,RF+SARIMAX SM=0.4/1.0 LC=0.5
RF,SARIMAX,0.4,1.0,0.7,0.6,21.12,16.46,60.4,60.9,22,RF+SARIMAX SM=0.4/1.0 LC=0.6
RF,SARIMAX,0.4,1.0,0.7,0.7,20.93,17.89,60.5,60.3,22,RF+SARIMAX SM=0.4/1.0 LC=0.7
RF,SARIMAX,0.5,0.5,0.5,0.2,23.26,4.55,59.9,59.9,20,RF+SARIMAX SM=0.5/0.5 LC=0.2
RF,SARIMAX,0.5,0.5,0.5,0.3,22.79,8.13,60.1,60.1,20,RF+SARIMAX SM=0.5/0.5 LC=0.3
RF,SARIMAX,0.5,0.5,0.5,0.4,22.38,11.4,60.0,60.7,20,RF+SARIMAX SM=0.5/0.5 LC=0.4
RF,SARIMAX,0.5,0.5,0.5,0.5,22.04,14.07,60.3,61.5,22,RF+SARIMAX SM=0.5/0.5 LC=0.5
RF,SARIMAX,0.5,0.5,0.5,0.6,21.76,16.22,60.1,61.1,22,RF+SARIMAX SM=0.5/0.5 LC=0.6
RF,SARIMAX,0.5,0.5,0.5,0.7,21.56,17.65,60.3,60.5,22,RF+SARIMAX SM=0.5/0.5 LC=0.7
RF,SARIMAX,0.5,0.6,0.55,0.2,23.02,4.81,60.2,60.3,20,RF+SARIMAX SM=0.5/0.6 LC=0.2
RF,SARIMAX,0.5,0.6,0.55,0.3,22.55,8.38,60.4,60.5,20,RF+SARIMAX SM=0.5/0.6 LC=0.3
RF,SARIMAX,0.5,0.6,0.55,0.4,22.13,11.66,60.3,61.1,20,RF+SARIMAX SM=0.5/0.6 LC=0.4
RF,SARIMAX,0.5,0.6,0.55,0.5,21.8,14.33,60.6,61.9,22,RF+SARIMAX SM=0.5/0.6 LC=0.5
RF,SARIMAX,0.5,0.6,0.55,0.6,21.52,16.48,60.4,61.5,22,RF+SARIMAX SM=0.5/0.6 LC=0.6
RF,SARIMAX,0.5,0.6,0.55,0.7,21.32,17.91,60.5,60.9,22,RF+SARIMAX SM=0.5/0.6 LC=0.7
RF,SARIMAX,0.5,0.7,0.6,0.2,22.83,4.99,60.0,60.1,20,RF+SARIMAX SM=0.5/0.7 LC=0.2
RF,SARIMAX,0.5,0.7,0.6,0.3,22.36,8.57,60.2,60.3,20,RF+SARIMAX SM=0.5/0.7 LC=0.3
