ML,Stat,α_sm_s,α_sm_l,α_sm_mid,α_lc,MAPE,Skill,WR,WR_Focus,M50,Label
LGB,ARIMA,0.4,0.5,0.45,0.4,20.87,22.09,63.5,65.4,24,LGB+ARIMA SM=0.4/0.5 LC=0.4
LGB,ARIMA,0.4,0.5,0.45,0.5,20.91,21.49,63.4,65.6,24,LGB+ARIMA SM=0.4/0.5 LC=0.5
LGB,ARIMA,0.4,0.5,0.45,0.6,21.0,20.44,62.6,64.2,23,LGB+ARIMA SM=0.4/0.5 LC=0.6
LGB,ARIMA,0.4,0.5,0.45,0.7,21.13,19.08,61.8,63.6,23,LGB+ARIMA SM=0.4/0.5 LC=0.7
LGB,ARIMA,0.4,0.6,0.5,0.2,20.9,21.43,63.8,64.6,25,LGB+ARIMA SM=0.4/0.6 LC=0.2
LGB,ARIMA,0.4,0.6,0.5,0.3,20.78,22.02,63.4,64.4,24,LGB+ARIMA SM=0.4/0.6 LC=0.3
LGB,ARIMA,0.4,0.6,0.5,0.4,20.73,22.14,63.4,65.0,24,LGB+ARIMA SM=0.4/0.6 LC=0.4
LGB,ARIMA,0.4,0.6,0.5,0.5,20.77,21.54,63.4,65.2,24,LGB+ARIMA SM=0.4/0.6 LC=0.5
LGB,ARIMA,0.4,0.6,0.5,0.6,20.86,20.49,62.5,63.8,23,LGB+ARIMA SM=0.4/0.6 LC=0.6
LGB,ARIMA,0.4,0.6,0.5,0.7,20.99,19.13,61.8,63.2,23,LGB+ARIMA SM=0.4/0.6 LC=0.7
LGB,ARIMA,0.4,0.7,0.55,0.2,20.82,21.38,63.3,63.4,25,LGB+ARIMA SM=0.4/0.7 LC=0.2
LGB,ARIMA,0.4,0.7,0.55,0.3,20.7,21.97,62.9,63.2,24,LGB+ARIMA SM=0.4/0.7 LC=0.3
LGB,ARIMA,0.4,0.7,0.55,0.4,20.65,22.1,62.9,63.8,24,LGB+ARIMA SM=0.4/0.7 LC=0.4
LGB,ARIMA,0.4,0.7,0.55,0.5,20.68,21.5,62.9,64.0,24,LGB+ARIMA SM=0.4/0.7 LC=0.5
LGB,ARIMA,0.4,0.7,0.55,0.6,20.78,20.44,62.0,62.6,23,LGB+ARIMA SM=0.4/0.7 LC=0.6
LGB,ARIMA,0.4,0.7,0.55,0.7,20.91,19.08,61.3,61.9,23,LGB+ARIMA SM=0.4/0.7 LC=0.7
LGB,ARIMA,0.4,0.8,0.6,0.2,20.79,21.22,63.3,63.4,25,LGB+ARIMA SM=0.4/0.8 LC=0.2
LGB,ARIMA,0.4,0.8,0.6,0.3,20.67,21.8,62.9,63.2,24,LGB+ARIMA SM=0.4/0.8 LC=0.3
LGB,ARIMA,0.4,0.8,0.6,0.4,20.62,21.93,62.9,63.8,24,LGB+ARIMA SM=0.4/0.8 LC=0.4
LGB,ARIMA,0.4,0.8,0.6,0.5,20.65,21.33,62.9,64.0,24,LGB+ARIMA SM=0.4/0.8 LC=0.5
LGB,ARIMA,0.4,0.8,0.6,0.6,20.75,20.28,62.0,62.6,23,LGB+ARIMA SM=0.4/0.8 LC=0.6
LGB,ARIMA,0.4,0.8,0.6,0.7,20.88,18.91,61.3,61.9,23,LGB+ARIMA SM=0.4/0.8 LC=0.7
LGB,ARIMA,0.4,0.9,0.65,0.2,20.86,20.91,63.1,63.0,24,LGB+ARIMA SM=0.4/0.9 LC=0.2
LGB,ARIMA,0.4,0.9,0.65,0.3,20.74,21.5,62.6,62.8,23,LGB+ARIMA SM=0.4/0.9 LC=0.3
LGB,ARIMA,0.4,0.9,0.65,0.4,20.69,21.62,62.7,63.4,23,LGB+ARIMA SM=0.4/0.9 LC=0.4
LGB,ARIMA,0.4,0.9,0.65,0.5,20.72,21.02,62.6,63.6,23,LGB+ARIMA SM=0.4/0.9 LC=0.5
LGB,ARIMA,0.4,0.9,0.65,0.6,20.82,19.97,61.8,62.1,22,LGB+ARIMA SM=0.4/0.9 LC=0.6
LGB,ARIMA,0.4,0.9,0.65,0.7,20.95,18.6,61.1,61.5,22,LGB+ARIMA SM=0.4/0.9 LC=0.7
LGB,ARIMA,0.4,1.0,0.7,0.2,20.99,20.53,62.5,61.3,24,LGB+ARIMA SM=0.4/1.0 LC=0.2
LGB,ARIMA,0.4,1.0,0.7,0.3,20.86,21.12,62.0,61.1,23,LGB+ARIMA SM=0.4/1.0 LC=0.3
LGB,ARIMA,0.4,1.0,0.7,0.4,20.82,21.24,62.1,61.7,23,LGB+ARIMA SM=0.4/1.0 LC=0.4
LGB,ARIMA,0.4,1.0,0.7,0.5,20.85,20.64,62.0,61.9,23,LGB+ARIMA SM=0.4/1.0 LC=0.5
LGB,ARIMA,0.4,1.0,0.7,0.6,20.94,19.59,61.2,60.5,22,LGB+ARIMA SM=0.4/1.0 LC=0.6
LGB,ARIMA,0.4,1.0,0.7,0.7,21.07,18.22,60.4,59.9,22,LGB+ARIMA SM=0.4/1.0 LC=0.7
LGB,ARIMA,0.5,0.5,0.5,0.2,21.1,21.32,63.8,65.0,25,LGB+ARIMA SM=0.5/0.5 LC=0.2
LGB,ARIMA,0.5,0.5,0.5,0.3,20.97,21.91,63.4,64.8,24,LGB+ARIMA SM=0.5/0.5 LC=0.3
LGB,ARIMA,0.5,0.5,0.5,0.4,20.93,22.04,63.4,65.4,24,LGB+ARIMA SM=0.5/0.5 LC=0.4
LGB,ARIMA,0.5,0.5,0.5,0.5,20.96,21.44,63.4,65.6,24,LGB+ARIMA SM=0.5/0.5 LC=0.5
LGB,ARIMA,0.5,0.5,0.5,0.6,21.05,20.38,62.5,64.2,23,LGB+ARIMA SM=0.5/0.5 LC=0.6
