Modelo,Seg,WR_%,Skill%,Hfoc%,H1m,H3m,H6m,H9m,H12m,H18m,H24m,H30m,H36m,H42m,H48m,H54m,H60m
Ens_Stack_Ridge,All,56.98121747001584,12.955458060554204,59.701946472019465,40.4,51.1,55.8,62.7,59.6,61.8,58.6,58.9,57.1,59.9,60.0,66.3,65.9
Ens_Segmentado,All,56.98121747001584,12.955458060554204,59.701946472019465,40.4,51.1,55.8,62.7,59.6,61.8,58.6,58.9,57.1,59.9,60.0,66.3,65.9
Ens_3070,SM,56.98121747001584,12.955458060554204,59.701946472019465,40.4,51.1,55.8,62.7,59.6,61.8,58.6,58.9,57.1,59.9,60.0,66.3,65.9
Ens_LC_3070,LC,56.98121747001584,12.955458060554204,59.701946472019465,40.4,51.1,55.8,62.7,59.6,61.8,58.6,58.9,57.1,59.9,60.0,66.3,65.9
