Origin,Horizonte,Mine,Segment,Mine_Size,Actual,Naive,LGB,RF,XGB,ARIMA,SARIMAX,RollingMean
2018-01-01,6,andacollo,SM,1,5.4,8.4,6.84514667786969,6.316808670385056,6.379046683002908,6.12140128456064,6.473051154876203,6.166666666666667
2018-01-01,6,andina,LC,2,16.1,19.5,17.64861054047824,17.370002460312868,17.8302443498522,19.06412685977685,19.03299843904762,17.741666666666664
2018-01-01,6,antucoya,SM,1,5.0,6.7,5.2862568307344295,5.344583005437291,5.682163559844401,5.046996439613925,5.046996439613925,4.541666666666667
2018-01-01,6,atacama kozan,SM,0,1.1,1.0,0.9817609171580151,0.9735467890077745,0.9411641731635865,0.9475911044345359,0.9453984642161397,1.0333333333333332
2018-01-01,6,candelaria,LC,2,7.4,9.4,11.374352402292999,13.02470764649936,11.832950972909654,10.320614280753476,10.019451933165504,11.947222222222221
2018-01-01,6,caserones,LC,2,11.0,13.0,10.511651026129009,10.78568208983852,10.75348811746958,11.130831577537114,10.624389449803518,8.930555555555555
2018-01-01,6,centinela_oxidos,SM,1,7.1,5.3,6.5533411371564725,6.408457600591523,6.495349321730572,7.938836975389207,7.562538997139532,5.4444444444444455
2018-01-01,6,centinela_sulfuros,LC,2,8.6,16.4,13.806124012780787,13.797784116217036,14.15508338976856,13.408056852709509,0.0,13.413888888888888
2018-01-01,6,cerro colorado,SM,0,5.1,5.4,5.733816350971854,5.807383757169772,6.232100066504849,5.8007197205746035,340.5097885642783,5.897222222222222
2018-01-01,6,chuquicamata,LC,3,16.621,15.228,42.83192287357991,32.81170924853097,34.63900000002389,26.37874106464033,34.83373245289885,26.190527777777774
2018-01-01,6,collahuasi,LC,3,43.2,44.4,44.72976191672305,49.200494391195974,47.62259033941733,47.20303310359733,49.106388855401256,41.69166666666666
2018-01-01,6,el abra,SM,1,7.7,6.9,7.820537793665387,7.650405352326549,7.667831075432213,7.2493191996460125,7.129474725248654,8.852777777777778
2018-01-01,6,el soldado,SM,0,5.218,3.6,3.544045313582082,3.6249768734694245,3.7009030690808467,3.3305002852145,3.0223149042248614,3.4608611111111114
2018-01-01,6,el teniente,LC,3,42.6,36.6,37.921837366608365,39.28846825408914,39.98830221774209,38.84342902995162,37.321799121611996,39.03333333333333
2018-01-01,6,escondida,LC,3,110.9,77.1,100.2272303747547,88.15754043421055,87.40816806045618,91.56913198299279,97.3440723212067,85.00833333333331
2018-01-01,6,franke,SM,0,1.8,1.7,1.2720417024297195,1.343068244772513,1.2454239178385913,1.580054167385001,1.3838564342310635,1.5888888888888888
2018-01-01,6,gabriela mistral,LC,2,9.3,7.2,10.518737170135672,9.989853656862934,10.336821664452852,9.296745120459551,10.695460349275235,10.191666666666668
2018-01-01,6,lomas bayas,SM,1,6.3,7.2,6.094371575285158,5.801512360537976,6.332624221884536,5.60076628583302,5.4887288120766415,6.35
2018-01-01,6,los bronces,LC,3,33.943,20.858,26.72311952935457,26.038863805949724,26.860187492322403,25.999769904041145,27.610393779387937,28.02316666666667
2018-01-01,6,los pelambres,LC,3,35.2,28.1,29.637594905517656,29.312363309023812,29.908610789457622,30.3052983564067,29.762074754850204,30.450000000000003
