Origin,Horizonte,Mine,Segment,Actual,Pred,Naive
2018-01-01,18,centinela_oxidos,SM,5.7,7.525228655005218,5.3
2018-01-01,18,centinela_sulfuros,LC,20.8,12.12926678522455,16.4
2018-01-01,18,cerro colorado,SM,6.314,5.824784606308465,5.4
2018-01-01,18,chuquicamata,LC,24.19,24.088564210035795,15.228
2018-01-01,18,collahuasi,LC,47.341,52.06358699848334,44.4
2018-01-01,18,el abra,SM,6.704,6.147595033635206,6.9
2018-01-01,18,el soldado,SM,4.214,3.8552308448453787,3.6
2018-01-01,18,el teniente,LC,39.561,35.401536847590826,36.6
2018-01-01,18,escondida,LC,97.228,88.56336172464212,77.1
2018-01-01,18,franke,SM,1.65,1.0371509100760212,1.7
2018-01-01,18,gabriela mistral,LC,9.379,8.877304242675677,7.2
2018-01-01,18,lomas bayas,SM,6.701,5.811172299525148,7.2
2018-01-01,18,los bronces,LC,29.657,23.193613640364028,20.858
2018-01-01,18,los pelambres,LC,31.541,26.421992855927453,28.1
2018-01-01,18,mantos blancos,SM,3.835,3.0938809342049884,3.569
2018-01-01,18,mantoverde,SM,3.52,3.7770184334430006,3.065
2018-01-01,18,ministro hales,LC,13.609,13.333007399730867,23.8
2018-01-01,18,ojos del salado,SM,2.251,2.2050136919432446,2.1
2018-01-01,18,otros,LC,13.251566999999998,11.388434097574711,11.749
2018-01-01,18,radomiro tomic,LC,24.658,20.85943479126883,25.704
2018-01-01,18,salvador,SM,3.961,5.058252539925842,4.3
2018-01-01,18,sierra gorda,SM,8.868,12.76428665808569,7.8
2018-01-01,18,zaldivar,SM,9.303,6.883393296849855,8.7
2018-01-01,24,andacollo,SM,6.32,3.7088448249456674,8.4
2018-01-01,24,andina,LC,15.886,15.360149697463363,19.5
2018-01-01,24,antucoya,SM,6.78,6.641981248768973,6.7
2018-01-01,24,atacama kozan,SM,1.177,1.124267130040048,1.0
2018-01-01,24,candelaria,LC,8.24,9.212324330228405,9.4
2018-01-01,24,caserones,LC,11.611,11.296957757460056,13.0
2018-01-01,24,centinela_oxidos,SM,7.457,7.463207261159937,5.3
2018-01-01,24,centinela_sulfuros,LC,17.118,11.775221710446397,16.4
2018-01-01,24,cerro colorado,SM,7.601,5.856395100663477,5.4
2018-01-01,24,chuquicamata,LC,15.69,23.285185178691766,15.228
2018-01-01,24,collahuasi,LC,53.542,50.605165389493216,44.4
2018-01-01,24,el abra,SM,7.0169,6.282295838793785,6.9
2018-01-01,24,el soldado,SM,3.923,3.8781165462022695,3.6
2018-01-01,24,el teniente,LC,33.386,34.25708028444215,36.6
2018-01-01,24,escondida,LC,100.944,89.54725882023727,77.1
2018-01-01,24,franke,SM,1.101,1.0446781645358,1.7
2018-01-01,24,gabriela mistral,LC,8.929,8.730815383040865,7.2
2018-01-01,24,lomas bayas,SM,6.551,5.8030821657984815,7.2
