Mine,Origin,Segment,LGB_bc,RF_bc,XGB_bc,ARIMA,SARIMAX,RollingMean,Naive,H_norm
andacollo,2018-01-01,SM,0.0017927859962888041,0.11671879881490814,-0.03944867463548285,-0.04480170373483024,-0.05575729120908986,-0.024548565399170028,-0.008718043415356319,0.12329932294209017
andacollo,2018-07-01,SM,0.05914931426112417,0.13018693762466108,-0.04046972163000882,-0.07178874357979001,-0.05510363721379782,-0.038623423050581154,0.0007536440422725525,0.1400433337421681
andacollo,2019-01-01,SM,0.05154500005619529,0.15169399391001032,-0.031294065545687616,-0.04495808795463973,-0.031173633949063063,-0.028184838616884006,0.01133411163333173,0.1522796110704722
andacollo,2019-07-01,SM,0.022760504070449734,0.10723793076379125,-0.07953401235573417,-0.05241109049595111,0.010675131554546689,-0.03442121935880008,0.015529440468710902,0.12180638778581528
andacollo,2020-01-01,SM,0.00934377657670802,0.13078759625182987,-0.030727463648300268,-0.020426970674760927,-0.03102039929999254,-0.03072322854020374,-0.009466034333883449,0.09801199875218712
andacollo,2020-07-01,SM,0.04274311088454122,0.08429498380024134,-0.01104747587030359,-0.057492874767727166,-0.04893478486236554,-0.023998705336234112,0.04055786537281365,0.07502426947384903
andacollo,2020-10-01,SM,-0.0010306299623775996,0.0830304444775151,-0.0579058286302032,-0.04537264603320176,-0.019818089657489824,-0.03338165989318843,0.1360529915282651,-0.027774646785142895
andacollo,2021-04-01,SM,0.02745409905261978,0.12442868609067868,-0.028119972022014227,-0.005383497035033445,0.045193199691300874,0.0278646909026148,-0.09273222541260401,0.0019518935394689553
andina,2018-01-01,LC,-0.0960175417137255,-0.2500163042671037,-0.17544955035586607,0.14757330085738485,-0.14097827595466172,0.3104584491499557,0.47417036010407304,-0.3064319905006411
andina,2018-07-01,LC,0.02370981175256967,-0.35859492083955036,-0.21576387186870688,0.20519770593639824,-0.0658580708695857,0.40328697573719874,0.5291294588532898,-0.33201417415421614
