ID_SUBEST,NOMBRE,PROPIEDAD,TENSION,TIPO,FECHA_CREA,Latitude,Longitude
441,S/E PILLANLELBUN,CGE TRANSMISIÓN S.A.,<66,ZONAL,2014-04-12,-38.63655700099997,-72.47204499999998
366,S/E HOSPITAL,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-33.864868000999934,-70.74310999999994
283,S/E CALERA CENTRO,ALFA TRANSMISORA DE ENERGÍA S.A.,<66,DEDICADO,2014-04-12,-32.78906245099995,-71.19874483999996
226,S/E CENTRAL NEHUENCO I,COLBÚN S.A.,220,DEDICADO,2014-04-12,-32.937630000999945,-71.32409299999995
1894,S/E LIXIVIACION,TRANSELEC S.A.,220,DEDICADO,2014-04-12,-24.26625260099996,-69.01486688999995
1844,S/E CHACAYA,ENGIE ENERGÍA CHILE S.A.,220,DEDICADO,2014-04-12,-23.090657000999958,-70.41029499999996
263,S/E ENLACE,AES ANDES S.A.,66,ZONAL,2014-04-12,-37.09560554099994,-72.32442777999995
631,S/E CHOCALAN,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-33.72654500099998,-71.21242999999998
1044,TAP OFF EL EDEN,CGE TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-28.56336500499998,-70.77920497799994
972,S/E MINERA MARICUNGA,COMPAÑÍA MINERA MARICUNGA,110,DEDICADO,2014-04-12,-27.54759700099993,-69.28814899999998
617,S/E CALDERA,CGE TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-27.08933800099993,-70.80297799999994
2272,S/E ELEVADORA CAPRICORNIO,ENGIE ENERGÍA CHILE S.A.,110,ZONAL,2014-04-12,-23.41607346799998,-70.18175498999994
1902,S/E MEJILLONES,SOCIEDAD AUSTRAL DE TRANSMISIÓN TRONCAL S.A.,220,DEDICADO,2014-04-12,-23.095245000999967,-70.41921099999996
1914,S/E PEQ,POZO ALMONTE SOLAR 3 S.A.,<66,DEDICADO,2014-04-12,-21.65866300099998,-69.49408499999998
2054,S/E MANTILHUE,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,110,DEDICADO,2014-04-12,-40.61835900099993,-72.40148599999998
2122,S/E SAN GABRIEL,PARQUE EÓLICO SAN GABRIEL SPA,<66,DEDICADO,2014-04-12,-37.67267900099995,-72.52835299999998
858,S/E EL COBRE [ANGLOAMERICAN),ANGLO AMERICAN EL SOLDADO,110,DEDICADO,2014-04-12,-32.66080600099997,-71.14473499999997
781,S/E EL MELON,CHILQUINTA TRANSMISIÓN S.A.,<66,ZONAL,2014-04-12,-32.69529300099998,-71.20111199999997
928,S/E SAN FERNANDO (FFCC),EMPRESA DE LOS FERROCARRILES DEL ESTADO,66,ZONAL,2014-04-12,-34.59707200099996,-70.98398599999996
1652,S/E TOTORALILLO (CAP CMP),TECNOCAP S.A.,220,DEDICADO,2014-04-12,-26.87692490699993,-70.80733887999997
1864,S/E EL LINCE,HALDEMAN MINING COMPANY S.A.,110,DEDICADO,2014-04-12,-22.67866800099995,-70.18955099999994
1957,TAP OFF EL AGUILA,ENGIE ENERGÍA CHILE S.A.,<66,DEDICADO,2014-04-12,-18.477135002999944,-69.86608899399994
2292,PORVENIR,EDELMAG,138,NO APLICA,2014-12-04,-53.291552440999965,-70.38022071299997
360,S/E MOLINA,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-35.09473500099995,-71.31796799999995
461,S/E PIRQUE,CGE TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-33.650113000999966,-70.61179499999997
398,S/E CASAS VIEJAS,CGE TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-32.59927400099997,-71.36593099999999
2284,CENTRAL NUEVO REINO,EDELAYSEN,23,NO APLICA,2014-12-04,-44.72250612299996,-72.67902350799994
2034,TAP OFF CENTRAL CAVANCHA,CAVANCHA S.A.,<66,S/I,2014-04-12,-20.237074864999958,-70.12731774299994
