name,longitude,latitude
Est FUENZALIDA,-70.655624027903,-34.23244845271373
Est PANGAL,-70.57036508526109,-34.24808146401102
Est TERMAS DE CAUQUENES,-70.55451367277593,-34.24412927464156
Est COYA,-70.53647713719546,-34.20450269122352
Est SEWELL,-70.38460583856998,-34.08488680023395
Est COLON,-70.46015075932411,-34.08300767963809
Est LOS LIRIOS,-70.784550725195,-34.2270192971783
Est REQUINOA,-70.81545070969315,-34.28652049153781
Est ROSARIO,-70.84022105116352,-34.34928347142723
Est RENGO,-70.86714487473029,-34.40781127201658
Est PELEQUÉN,-70.89162510983535,-34.46167279329247
Est MALLOA,-70.95807651253982,-34.461494617389
Est REQUEGUA,-71.01450452961834,-34.44847788945206
Est SAN VICENTE DE TAGUA-TAGUA,-71.07852017650467,-34.43688668935779
Est PEUMO,-71.16652858421756,-34.39244918686418
Est CODAO,-71.21949652100224,-34.35376510147535
Est LA ROSA,-71.25184308813103,-34.3218292718963
Est LAS CABRAS,-71.30782053440622,-34.29380273983251
Est EL CARMEN,-71.38244911409333,-34.25590475886063
Est EL MANZANO,-71.40367993630113,-34.19771843978237
Est POLONIA,-70.94035127689123,-34.53498810776186
Est SAN FERNANDO,-70.98260865888994,-34.58983230542363
Est MANANTIALES,-71.04780183102113,-34.61171938500942
Est PLACILLA,-71.1221403174408,-34.63797966013023
Est NANCAGUA,-71.2014598621258,-34.65357773913625
Est CUNACO,-71.28445577043736,-34.65006856830103
Est SANTA CRUZ,-71.3455314899503,-34.62547787158741
Est COLCHAGUA,-71.40203879994756,-34.54904625256832
Est PERALILLO,-71.4797564929158,-34.48022240309791
Est POBLACIÓN,-71.54838087107694,-34.4501671090603
Est MARCHIGÜE,-71.62039004306719,-34.40092005134761
Est ALCONES,-71.72624714994775,-34.39754627357971
Est CARDONAL,-71.76777155499435,-34.40171841177328
Est EL LINGUE,-71.83023942038272,-34.448829
Est LARRAIN ALCALDE,-71.92512647472097,-34.42997717929286
Est PICHILEMU,-71.99794795213124,-34.38496189510374
Est TINGUIRIRICA,-70.99395695695657,-34.64119823942756
Est CHIMBARONGO,-71.04094811204288,-34.71233682973544
Est TENO,-71.15876785842116,-34.87099962523713
Est SARMIENTO,-71.19998047254312,-34.93481764325745
Est CURICO,-71.24644741199329,-34.9841446394058
Est TUTUQUEN,-71.29411640291333,-34.95968277224038
Est QUILPOCO,-71.34964826760788,-34.95975300406386
Est TRICAO,-71.40237203509668,-34.9792011299947
Est MAJADILLAS,-71.48316507732126,-35.02234250879697
Est PALQUIBUDI,-71.55303701426732,-35.03928581559776
Est LA HUERTA,-71.65673186596216,-35.08912877567059
Est PARRONAL,-71.71671517665737,-35.05042979569511
Est MIRA RIO,-71.7498626441415,-35.00144185361895
Est HUALAÑÉ,-71.80280852844032,-34.97561031320882
Est MATAQUITO,-71.91226121543207,-34.99104460735731
Est LICANTÉN,-71.98427779511591,-34.98482321757226
Est LONTUÉ,-71.26873127402797,-35.05522573284605
Est MOLINA,-71.30289825329291,-35.10229357389255
Est ITAHUE,-71.36730700974589,-35.14400148706354
Est CAMARICO,-71.42448493671831,-35.22124236863986
Est SAN RAFAEL,-71.51909536252519,-35.30665295941727
Est PANGUILEMU,-71.58835762608572,-35.36833855736904
Est TALCA (Ramal a Constitucion),-71.64981039637117,-35.4304692828353
Est COLIN,-71.7441944078134,-35.47665045255842
Est RAUQUEN,-71.78153795549034,-35.4554504741168
Est CORINTO,-71.87222048747358,-35.4464136563346
Est CURTIDURIA,-71.93082334234144,-35.46202925513117
Est GONZALEZ BASTIAS,-72.02413148140252,-35.44526934341845
Est TOCONEY,-72.05693496717872,-35.42325594400695
Est PICHAMAN,-72.10201052196487,-35.43529028831347
Est FOREL,-72.19842744901749,-35.41248361077171
Est HUINGANES,-72.23186439733904,-35.41528649701247
Est MAQUEGUA,-72.28842598231428,-35.38861587721374
Est CONSTITUCIÓN,-72.40425433498301,-35.33605471038079
Est TALCA,-71.64956440603943,-35.42957763254199
Est SAN MIGUEL,-71.61279324650799,-35.43594859640324
Est LAS MERCEDES,-71.55281101833991,-35.47082000526461
Est AURORA,-71.52829214072247,-35.49151422581315
Est SAN CLEMENTE,-71.48254689050998,-35.53472882108093
Est BRAMADERO,-71.42408038594684,-35.57418608769772
Est PERQUÍN,-71.34693375080477,-35.54747273268562
Est MAULE,-71.6849272736269,-35.52272041406708
Est SAN JAVIER DE LONCOMILLA,-71.70015041623938,-35.60245394576742
Est VILLA ALEGRE,-71.68002650490709,-35.69658123578282
Est PUTAGÁN,-71.66468571461213,-35.76796500763292
Est LINARES,-71.59065982185868,-35.84757750297818
Est COLBÚN,-71.4073194419956,-35.70091909162875
Est ABRANQUIL,-71.53023909794041,-35.75195722388683
Est YERBAS BUENAS,-71.57845607836659,-35.74698204760045
Est PTA DE RIELES,-71.43181839295076,-35.76656136163505
Est RARI,-71.44383540347937,-35.76400438960309
Est SAN JUAN,-71.49871200660154,-35.75537078608746
Est PANIMAVIDA,-71.41676821373213,-35.75791268257858
Est MIRAFLORES,-71.64624300590089,-35.91634059387558
Est LONGAVÍ,-71.68886227340973,-35.96604801089278
Est RETIRO,-71.76747909061358,-36.05659539274784
Est COPIHUE,-71.80016979881542,-36.09416178778852
Est PARRAL,-71.83353264902493,-36.13875393305602
Est UNICAVÉN,-72.01667662720294,-36.07966517951147
Est QUELLA,-72.09393187976444,-36.05713169173545
Est HUALVE,-72.18363949794276,-36.01754140578832
Est CAUQUENES,-72.3151689879767,-35.98186376417885
Est PERQUILAUQUÉN,-71.8715813629417,-36.23636866900889
Est ÑIQUÉN,-71.90136833034362,-36.2941428926631
Est BULI,-71.93481553407192,-36.35875305506421
Est SAN CARLOS,-71.96638192166884,-36.42602474468664
Est NINQUIHUE,-72.01408484291713,-36.47675944416512
Est COCHARCAS,-72.06859852583469,-36.52476672750069
Est CHILLÁN,-72.11232311208805,-36.60406195163577
Est ALMARZA,-72.1829487236419,-36.6238903739437
Est NEBUCO,-72.22972314215625,-36.64723980382791
Est RUCAPEQUÉN,-72.27933828587331,-36.67301682629118
Est COLLIGUAY,-72.37197565725916,-36.65354728162564
Est QUINCHAMALÍ,-72.39800647829617,-36.65285471885725
Est CONFLUENCIA,-72.44477316198974,-36.6453019271376
Est NUEVA ALDEA,-72.46173102749327,-36.65257050895819
Est ÑIPAS,-72.53536289923218,-36.60322435353719
Est MAGDALENA,-72.61695862264618,-36.54234689242166
Est COELEMU,-72.70290537498795,-36.4915784570072
Est RANGUELMO,-72.7672450261893,-36.58145623006077
Est PISSIS,-72.80324756896687,-36.61394034294455
Est MENQUE,-72.86455264555953,-36.56026807479009
Est DICHATO,-72.94263259996981,-36.54788332185704
Est TOMÉ,-72.95666317442783,-36.62424398206209
Est LIRQUÉN,-72.97815070512902,-36.71507881641629
Est PENCO,-72.997276549356,-36.73725183016224
Est COSMITO,-73.03026040989764,-36.80023080971304
Est ANDALIÉN,-73.06012945161812,-36.81784994453435
Est BULNES,-72.29280339907402,-36.74547558197785
Est STA CLARA,-72.32787713724629,-36.82612980313112
Est GRAL CRUZ,-72.35002040811165,-36.93184302259395
Est CABRERO,-72.39967132823892,-37.03368330718457
Est MONTE ÁGUILA,-72.44067103928472,-37.08444590691869
Est CHARRÚA,-72.32284206263452,-37.10122455086126
Est CAMPANARIO,-72.19291974886488,-37.13370168786165
Est CHOLGUÁN,-72.07008882280704,-37.16681974232918
Est HUEPIL,-71.94385771344034,-37.24395740859205
Est TRUPÁN,-71.83967531582611,-37.27345829048298
Est POLCURA,-71.72129014298574,-37.2922703182384
Est YUMBEL,-72.53976331724547,-37.14662856492322
Est RÍO CLARO,-72.62095759168382,-37.20466613034298
Est TURQUÍA,-72.65161727675915,-37.23048739569892
Est SAN ROSENDO,-72.72246809023567,-37.2654408767612
