NOMBRE,PROPIEDAD,TENSION,TIPO,FECHA_CREA,Latitude,Longitude
COPAYAPU -CERRILLOS 110KV,CGE TRANSMISIÓN S.A.,110.0,ZONAL,2019-04-26,-27.53113877291731,-70.32184019236608
ILLAPA - CUMBRES 220KV,DIEGO DE ALMAGRO TRANSMISORA DE ENERGÍA S.A.,220.0,NACIONAL,2021-09-15,-26.435307091075003,-70.04131393364725
PUENTE NEGRO – TINGUIRIRICA 220KV,LA HIGUERA TRANSMISIÓN S.A.,220.0,NACIONAL,2019-04-26,-34.64896636800551,-70.9412411243803
TAP SAN PABLO – LO AGUIRRE 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2021-09-10,-33.440768477946406,-70.8382766576605
CENTRAL CHAPIQUIÑA - ARICA 66KV,ENGIE ENERGÍA CHILE S.A.,66.0,DEDICADO,2019-04-25,-18.46430912029519,-69.9119150248287
RIO MALLECO – MULCHEN 220KV,TRANSCHILE CHARRÚA TRANSMISIÓN S.A.,220.0,NACIONAL,2017-12-20,-37.86314279119616,-72.28444406726399
BARRO BLANCO - RIO NEGRO 66KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66.0,NACIONAL,2023-04-10,-40.67017400337437,-73.16070989914282
CARAMPANGUE - CURANILAHUE NORTE 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-37.36109489084407,-73.31039609252468
TOTORALILLO - ACONCAGUA 110KV,ALFA TRANSMISORA DE ENERGÍA S.A.,110.0,ZONAL,2019-04-26,-32.88321383915716,-70.41154048071051
SICPA,EDELMAG,66.0,S/I,2019-04-26,-53.12863145216771,-70.90777247020549
ENLACE - BUCALEMU 66KV,CMPC MADERAS SPA,66.0,DEDICADO,2019-04-25,-37.12351968114607,-72.37410893313663
MIRAFLORES - MARGA MARGA 110KV L1,CGE TRANSMISIÓN S.A.,110.0,ZONAL,2017-12-20,-33.02912558302605,-71.53575351874763
PITRUFQUEN - LASTARRIA 66 KV L1,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-39.175720072141,-72.66746165438349
946_PARRAL - CHARRUA 154KV,S/I,154.0,ZONAL,2019-04-26,-36.59470836741711,-72.01446054849234
MAYACA - TAP OFF MAYACA 110KV,CHILQUINTA TRANSMISIÓN S.A.,110.0,ZONAL,2021-09-10,-32.864535826553016,-71.2067327239857
207_PUNTA COLORADA - MAITENCILLO 220KV,S/I,220.0,NACIONAL,2019-04-26,-28.938341843274124,-70.89453753199005
