Origin,LGB_Optuna_Seg,LightGBM,RandomForest,Ridge,"ARIMA(1,1,1)",Holt
2010,,,,,36.75213675213676,45.2991452991453
2011,60.50420168067227,,,,53.84615384615385,41.53846153846154
2012,50.42016806722689,41.605839416058394,48.9051094890511,45.25547445255474,53.84615384615385,43.84615384615385
2013,56.29139072847682,38.41059602649007,41.72185430463576,33.11258278145696,54.61538461538461,43.07692307692308
2014,46.330275229357795,47.706422018348626,46.330275229357795,37.15596330275229,35.76642335766424,27.73722627737226
2015,44.843049327354265,36.771300448430495,40.80717488789238,39.01345291479821,54.01459854014598,37.22627737226277
2016,55.5045871559633,52.752293577981646,55.04587155963303,30.275229357798167,44.89795918367347,32.6530612244898
2017,53.08056872037915,49.28909952606635,45.497630331753555,39.33649289099526,44.6078431372549,39.21568627450981
2018,52.63157894736842,44.01913875598086,46.889952153110045,39.23444976076555,46.411483253588514,32.057416267942585
