Mine,WR%,Hfoc%,MASE,MAPE%,MdAPE%,TrimMAPE_Sk%,n
tres valles,100.0,100.0,0.539,124.7,130.0,42.4,6.0
salvador,53.6,62.1,0.972,75.9,16.3,-2.3,69.0
