Mine,WR%,Hfoc%,MASE,MAPE%,MdAPE%,TrimMAPE_Sk%,n
salvador,71.4,70.4,0.911,62.5,14.1,5.5,63.0
michilla,36.0,40.0,1.06,68.8,34.1,-1.1,25.0
