Stat,ML,a_ss,a_sl,a_lc,Combined_WR,SM_WR,SM_MAPE,LC_WR
RollingMean,RF+XGB,0.4,0.6,0.7,55.88822355289421,64.98516320474778,30.228499395695763,53.2590051457976
RollingMean,RF+XGB,0.4,0.7,0.7,55.489021956087825,63.20474777448071,30.24082947743954,53.2590051457976
RollingMean,RF+XGB,0.4,0.8,0.7,55.35595475715236,62.61127596439169,30.437922916368894,53.2590051457976
RollingMean,RF+XGB,0.4,0.9,0.7,55.28942115768463,62.31454005934718,30.71690277453118,53.2590051457976
RollingMean,RF+XGB,0.4,1.0,0.7,55.28942115768463,62.31454005934718,31.103491892053295,53.2590051457976
RollingMean,RF+XGB,0.5,0.5,0.7,55.88822355289421,64.98516320474778,30.104648826316424,53.2590051457976
RollingMean,RF+XGB,0.5,0.6,0.7,55.95475715236194,65.28189910979229,30.02258125245126,53.2590051457976
RollingMean,RF+XGB,0.5,0.7,0.7,55.55555555555556,63.50148367952523,30.03491133419504,53.2590051457976
RollingMean,RF+XGB,0.5,0.8,0.7,55.42248835662009,62.908011869436194,30.23200477312439,53.2590051457976
RollingMean,RF+XGB,0.5,0.9,0.7,55.35595475715236,62.61127596439169,30.510984631286686,53.2590051457976
RollingMean,RF+XGB,0.5,1.0,0.7,55.35595475715236,62.61127596439169,30.897573748808792,53.2590051457976
RollingMean,RF+XGB,0.6,0.6,0.7,55.62208915502329,63.798219584569736,29.872206348122205,53.2590051457976
RollingMean,RF+XGB,0.6,0.7,0.7,55.2228875582169,62.01780415430267,29.884536429865975,53.2590051457976
RollingMean,RF+XGB,0.6,0.8,0.7,55.08982035928144,61.42433234421365,30.081629868795336,53.2590051457976
RollingMean,RF+XGB,0.6,0.9,0.7,55.02328675981371,61.12759643916914,30.360609726957623,53.2590051457976
RollingMean,RF+XGB,0.6,1.0,0.7,55.02328675981371,61.12759643916914,30.747198844479737,53.2590051457976
RollingMean,RF+XGB,0.7,0.7,0.7,55.08982035928144,61.42433234421365,29.905230442089803,53.2590051457976
RollingMean,RF+XGB,0.7,0.8,0.7,54.956753160345976,60.83086053412463,30.102323881019153,53.2590051457976
RollingMean,RF+XGB,0.7,0.9,0.7,54.89021956087824,60.534124629080125,30.381303739181448,53.2590051457976
RollingMean,RF+XGB,0.7,1.0,0.7,54.89021956087824,60.534124629080125,30.767892856703554,53.2590051457976
RollingMean,RF+XGB,0.8,0.8,0.7,54.82368596141051,60.23738872403561,30.216173630510443,53.2590051457976
RollingMean,RF+XGB,0.8,0.9,0.7,54.75715236194278,59.940652818991104,30.495153488672738,53.2590051457976
RollingMean,RF+XGB,0.8,1.0,0.7,54.75715236194278,59.940652818991104,30.88174260619484,53.2590051457976
RollingMean,ALL3,0.3,0.5,0.7,53.22687957418497,60.534124629080125,34.20729447531494,51.114922813036024
RollingMean,ALL3,0.3,0.6,0.7,53.22687957418497,60.534124629080125,34.51959430313448,51.114922813036024
RollingMean,ALL3,0.3,0.7,0.7,53.02727877578177,59.64391691394659,34.86846079887968,51.114922813036024
RollingMean,ALL3,0.3,0.8,0.7,52.96074517631404,59.34718100890207,35.2842865634169,51.114922813036024
RollingMean,ALL3,0.3,0.9,0.7,52.96074517631404,59.34718100890207,35.75412713959237,51.114922813036024
RollingMean,ALL3,0.3,1.0,0.7,52.69461077844311,58.160237388724035,36.231420598430404,51.114922813036024
RollingMean,ALL3,0.4,0.5,0.7,53.16034597471723,60.23738872403561,34.25124505709399,51.114922813036024
RollingMean,ALL3,0.4,0.6,0.7,53.16034597471723,60.23738872403561,34.56354488491353,51.114922813036024
RollingMean,ALL3,0.4,0.7,0.7,52.96074517631404,59.34718100890207,34.91241138065873,51.114922813036024
RollingMean,ALL3,0.4,0.8,0.7,52.89421157684631,59.05044510385756,35.32823714519594,51.114922813036024
RollingMean,ALL3,0.4,0.9,0.7,52.89421157684631,59.05044510385756,35.79807772137143,51.114922813036024
RollingMean,ALL3,0.4,1.0,0.7,52.62807717897538,57.86350148367953,36.27537118020945,51.114922813036024
RollingMean,ALL3,0.5,0.5,0.7,52.96074517631404,59.34718100890207,34.29877019209577,51.114922813036024
RollingMean,ALL3,0.5,0.6,0.7,52.96074517631404,59.34718100890207,34.61107001991532,51.114922813036024
RollingMean,ALL3,0.5,0.7,0.7,52.761144377910846,58.45697329376854,34.959936515660516,51.114922813036024
RollingMean,ALL3,0.5,0.8,0.7,52.69461077844311,58.160237388724035,35.37576228019773,51.114922813036024
RollingMean,ALL3,0.5,0.9,0.7,52.69461077844311,58.160237388724035,35.84560285637321,51.114922813036024
RollingMean,ALL3,0.5,1.0,0.7,52.42847638057219,56.97329376854599,36.322896315211246,51.114922813036024
RollingMean,ALL3,0.6,0.6,0.7,52.62807717897538,57.86350148367953,34.68759119941565,51.114922813036024
RollingMean,ALL3,0.6,0.7,0.7,52.42847638057219,56.97329376854599,35.03645769516085,51.114922813036024
RollingMean,ALL3,0.6,0.8,0.7,52.36194278110446,56.676557863501486,35.452283459698066,51.114922813036024
RollingMean,ALL3,0.6,0.9,0.7,52.36194278110446,56.676557863501486,35.922124035873544,51.114922813036024
RollingMean,ALL3,0.6,1.0,0.7,52.09580838323353,55.48961424332344,36.39941749471157,51.114922813036024
RollingMean,ALL3,0.7,0.7,0.7,52.42847638057219,56.97329376854599,35.16270354906308,51.114922813036024
RollingMean,ALL3,0.7,0.8,0.7,52.36194278110446,56.676557863501486,35.57852931360029,51.114922813036024
RollingMean,ALL3,0.7,0.9,0.7,52.36194278110446,56.676557863501486,36.04836988977577,51.114922813036024
RollingMean,ALL3,0.7,1.0,0.7,52.09580838323353,55.48961424332344,36.525663348613804,51.114922813036024
RollingMean,ALL3,0.8,0.8,0.7,52.36194278110446,56.676557863501486,35.78408537579844,51.114922813036024
RollingMean,ALL3,0.8,0.9,0.7,52.36194278110446,56.676557863501486,36.253925951973926,51.114922813036024
RollingMean,ALL3,0.8,1.0,0.7,52.09580838323353,55.48961424332344,36.731219410811946,51.114922813036024
