Region,BU_WR,BU_MAE,Ens_WR,Ens_MAE,Naive_MAE,N,BU_Skill,Ens_Skill,Best_Source
I,0.1071,0.2068,0.4821,0.1205,0.1297,56,-59.4278,7.0736,Direct
II,0.125,0.1024,0.4107,0.0672,0.0486,56,-110.6446,-38.3643,Direct
III,0.3036,0.3075,0.7321,0.1388,0.2315,56,-32.838,40.0645,Direct
IV,0.875,0.0899,0.3036,0.1872,0.1132,56,20.6012,-65.407,BU
RM,0.6429,0.2102,0.5179,0.2323,0.2102,56,0.0,-10.5042,BU
V,0.5179,0.0822,0.375,0.1153,0.092,56,10.6065,-25.3822,BU
VI,0.625,0.0856,0.5357,0.0863,0.0869,56,1.4144,0.6648,BU
