Exp,Origin,Horizonte,ForecastYear,Mine,Actual,Pred,Naive_Pred,SARIMAX_Pred,Company_Size,Mine_Size,Origin_Prod,Model_Error,Naive_Error,Beats_Naive,MAPE,Is_Pandemic_Target,Is_Recovery_Target,Alpha_Mine
LGB_LogRatio,2011,1,2012,andacollo,79.8,104.7690215415115,72.31700000000001,72.31700000000001,1.0,1,72.31700000000001,24.96902154151151,7.48299999999999,0,31.289500286486856,0.0,0.0,
LGB_LogRatio,2011,1,2012,centinela_centinela_sulfuros_,173.20000000000002,133.39850759169772,96.6,96.6,1.0,0,96.6,39.801492408302295,76.60000000000002,1,22.98007631553206,0.0,0.0,
LGB_LogRatio,2011,1,2012,michilla,37.7,35.979088167923614,41.6,41.68628298808652,1.0,1,41.6,1.7209118320763892,3.8999999999999986,1,4.564752749148174,0.0,0.0,
LGB_LogRatio,2011,2,2013,andacollo,81.10000000000001,117.0859820962057,72.31700000000001,72.31700000000001,1.0,1,72.31700000000001,35.98598209620569,8.783000000000001,0,44.37235715472517,0.0,0.0,
LGB_LogRatio,2011,2,2013,centinela_centinela_sulfuros_,177.1,122.0662089130585,96.6,96.6,1.0,0,96.6,55.03379108694149,80.5,1,31.07498067543291,0.0,0.0,
LGB_LogRatio,2011,2,2013,michilla,38.3,31.741232537837128,41.6,41.733083728936855,1.0,1,41.6,6.558767462162869,3.3000000000000043,0,17.12471877523677,0.0,0.0,
LGB_LogRatio,2011,3,2014,andacollo,71.8,66.54914915214631,72.31700000000001,72.31700000000001,1.0,1,72.31700000000001,5.250850847853684,0.5170000000000101,0,7.3131626388886595,0.0,0.0,
LGB_LogRatio,2011,3,2014,centinela_centinela_sulfuros_,180.7,88.89538816254952,96.6,96.6,1.0,0,96.6,91.80461183745047,84.1,0,50.80498690060907,0.0,0.0,
LGB_LogRatio,2011,3,2014,michilla,47.00000000000001,38.282072444879674,41.6,41.75846891079848,1.0,1,41.6,8.717927555120333,5.400000000000006,0,18.54878163751599,0.0,0.0,
LGB_LogRatio,2011,4,2015,andacollo,73.00000000000001,64.79663036543617,72.31700000000001,72.31700000000001,1.0,1,72.31700000000001,8.203369634563842,0.6830000000000069,0,11.2374924961492,0.0,0.0,
LGB_LogRatio,2011,4,2015,centinela_centinela_sulfuros_,145.20000000000002,86.5543989870067,96.6,96.6,1.0,0,96.6,58.64560101299331,48.60000000000002,0,40.389532099929745,0.0,0.0,
LGB_LogRatio,2011,4,2015,michilla,29.4,37.27394458736992,41.6,41.77223808296198,1.0,1,41.6,7.87394458736992,12.200000000000003,1,26.782123535879883,0.0,0.0,
LGB_LogRatio,2011,5,2016,andacollo,73.19999999999999,62.64509641558117,72.31700000000001,72.31700000000001,1.0,1,72.31700000000001,10.554903584418817,0.8829999999999814,0,14.419266994844465,0.0,0.0,
LGB_LogRatio,2011,5,2016,centinela_centinela_sulfuros_,180.4,83.68041114412691,96.6,96.6,1.0,0,96.6,96.7195888558731,83.80000000000001,0,53.613962483222544,0.0,0.0,
LGB_LogRatio,2011,5,2016,michilla,0.0,36.03628520952179,41.6,41.779706617286514,1.0,1,41.6,36.03628520952179,41.6,1,,0.0,0.0,
LGB_LogRatio,2011,6,2017,andacollo,76.0,61.2811403292817,72.31700000000001,72.31700000000001,1.0,1,72.31700000000001,14.718859670718302,3.6829999999999927,0,19.36692036453829,0.0,0.0,
LGB_LogRatio,2011,6,2017,centinela_centinela_sulfuros_,163.8,81.85845838781051,96.6,96.6,1.0,0,96.6,81.9415416121895,67.20000000000002,0,50.02536087419773,0.0,0.0,
LGB_LogRatio,2011,6,2017,michilla,0.0,35.25167614430331,41.6,41.783757623715545,1.0,1,41.6,35.25167614430331,41.6,1,,0.0,0.0,
LGB_LogRatio,2011,7,2018,andacollo,67.2,59.874115621756,72.31700000000001,72.31700000000001,1.0,1,72.31700000000001,7.325884378244005,5.117000000000004,0,10.901613495874807,0.0,0.0,
